"View Credit Memo","Näytä hyvityslasku"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Saa ilmoituksen, kun kuitti epäonnistuu pysyvästi. Käyttää varalla osoitetta Kaupan sähköpostiosoitteet → Yleinen yhteyshenkilö."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Digitaalisen suostumuksen vahvistussähköposti (11a artiklan 4 kohta)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Pysyvällä tallennusalustalla annettu kopio asiakkaan 16 artiklan m alakohdan mukaisesta suostumuksesta, lähetetään välittömästi kassan jälkeen, kun ostoskorissa on digitaalinen tuote. Direktiivin 2011/83/EU 11a artiklan 4 kohdan vaatimus — säilyttää väärennystä havaitsevan kirjauksen asiakkaan hyväksymästä juridisesta tekstistä sekä SHA-256-tiivisteen tiivisteketjun tarkistusta varten."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Pilkulla erotettuna. Vastaanottaa kopion jokaisesta vahvistuksesta tarkastustarkoituksiin."
"Branding (Shared by All Emails Above)","Brändäys (yhteinen kaikille yllä oleville sähköposteille)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Valinnainen koristelu asiakkaalle näkyviin sähköposteihin. Tyhjät kentät piilottavat vastaavat rivit. Brändin sanamerkki, logo, tukisähköposti ja kaupan osoite luetaan Magenton vakioasetuspuusta (Kaupat → Asetukset → Yleinen + Suunnittelu → Tapahtumasähköpostit)."
"USP Strip — Item 1","USP-palkki — kohde 1"
"Icon","Kuvake"
"Title","Otsikko"
"Subtitle","Alaotsikko"
"USP Strip — Item 2","USP-palkki — kohde 2"
"USP Strip — Item 3","USP-palkki — kohde 3"
"Social Links","Sosiaalisen median linkit"
"Instagram URL","Instagramin URL"
"X / Twitter URL","X:n/Twitterin URL"
"Facebook URL","Facebookin URL"
"YouTube URL","YouTuben URL"
"Order #","Tilaus #"
"Contract","Sopimus"
"Customer","Asiakas"
"Withdrawal submitted","Peruutus lähetetty"
"Right of Withdrawal — Required Information","Peruuttamisoikeus — Vaaditut tiedot"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your %1-day right of withdrawal. This information forms part of your contract.","Ennen tilauksen tekemistä, tutustu peruuttamisen ehtoihin, määräaikaan ja menettelyihin %1 päivän peruuttamisoikeutesi käyttämiseksi. Nämä tiedot ovat osa sopimustasi."
"Conditions, Time Limit and Procedures for Withdrawal","Peruuttamisen ehdot, määräaika ja menettelyt"
"Start Online Return","Aloita verkkopalautus"
"Download Model Withdrawal Form (Annex I(B))","Lataa malli peruuttamislomakkeelle (Liite I(B))"
"Withdrawal Information v%1 — Issued %2","Peruuttamistiedot v%1 — annettu %2"
"You'll receive a prepaid shipping label in the confirmation email.","Saat vahvistussähköpostiin esimaksetun lähetystarran."
"← Back to order search","← Takaisin tilaushakuun"
"← Back to items","← Takaisin tuotteisiin"
"Find order","Etsi tilaus"
"Enter your order number and email","Anna tilausnumero ja sähköposti"
"Select items","Valitse tuotteet"
"Choose items to return (partial withdrawal)","Valitse palautettavat tuotteet (osittainen peruuttaminen)"
"Review & confirm","Tarkista & vahvista"
"Review your return details and confirm","Tarkista palautuksen tiedot ja vahvista"
"Request submitted","Pyyntö lähetetty"
"We'll confirm your request by email","Vahvistamme pyyntösi sähköpostitse"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Annan nimenomaisen suostumukseni digitaalisen sisällön toimittamisen aloittamiseen ennen peruuttamisajan päättymistä."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Olen tietoinen siitä, että tämän suostumuksen antaessani menetän peruuttamisoikeuteni heti, kun sopimuksen täyttäminen on alkanut (kuluttajansuojadirektiivin 16 artiklan m alakohta)."
"Withdrawals","Peruutukset"
"Minimum %1 characters required.","Vaaditaan vähintään %1 merkkiä."
"Failed to add note.","Muistiinpanon lisääminen epäonnistui."
"Network error while adding note.","Verkkovirhe muistiinpanoa lisättäessä."
"Exported Evidence","Viedyt todisteet"
"Pending Confirm","Odottaa vahvistusta"
"Sent","Lähetetty"
"Failed Permanent","Epäonnistui pysyvästi"
"Failed Retry","Epäonnistui, yritetään uudelleen"
"Eligible","Kelvollinen"
"Excluded","Jätetty pois"
"Action","Toiminto"
"From","Mistä"
"To","Mihin"
"Admin Id","Admin-ID"
"Order Id","Tilauksen ID"
"Request Id","Pyynnön ID"
"Item Count","Tuotteita"
"Rules Fired","Käytetyt säännöt"
"Topic","Aihe"
"Message Id","Viestin ID"
"Email To Hash","Sähköpostin tiiviste"
"Attempts","Yritykset"
"Viewed At","Katsottu"
"Referrer Host","Viittaava palvelin"
"Enable \Other\"" with Free Text""","Ota käyttöön \Muu\"" vapaalla tekstikentällä"""
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Valinnainen oikeudellinen malli — ei ole pakko käyttää; peruuttamisoikeutta voi käyttää myös millä tahansa yksiselitteisellä ilmoituksella."
"Right of withdrawal","Peruuttamisoikeus"
"You have %1 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Sinulla on %1 päivää tilauksen vastaanottamisesta peruuttaa sopimus ilman syytä — täysi hyvitys alkuperäiselle maksutavallesi."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Tietyt tuotteet voidaan sulkea pois lain nojalla (pilaantuvat tavarat, tilauksesta valmistetut tuotteet, suljetut hygienia- tai ääni-/videotuotteet). Näytämme seuraavalla sivulla tarkasti, mikä on peruutuskelpoista."
"Direct link — no login or account password required.","Suora linkki — kirjautumista tai tilin salasanaa ei tarvita."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Asiakaspuolen UX peruutuksen prosessissa. Alaryhmät: <em>Painikkeet</em> (oikeudellisesti tärkeät merkinnät), <em>Sijoittelut</em> (missä linkki näytetään), <em>Palautuksen syyt</em> (pudotusvalikko tuotekohtaisesti), <em>Tarkistusvaihe</em> (sisältö prosessin vaiheessa 3)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Poista käytöstä vain, jos toimitat pysyvällä tallennusalustalla annettavan vahvistuksen toisen kanavan kautta."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Poista käytöstä vain, jos toimitat kuitin toisella pysyvällä tallennusalustalla (postitse, asiakastilin lataus ym.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Tyhjät kentät palautuvat the locale baseline-perustasoon kyseisen kielen/lainkäyttöalueen osalta. Mikä tahansa korvaava arvo tulee osaksi SHA-256-tiivistettä, joka tallennetaan jokaisesta suostumustapahtumasta — kentän muuttaminen sen jälkeen, kun asiakkaat ovat antaneet suostumuksensa, <strong>ei</strong> mitätöi aiempia suostumuksia takautuvasti."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Pakollinen sopimusta edeltävä tiedonanto peruuttamisoikeudesta. Näytetään kassan maksuvaiheessa. Jokainen näyttökerta tallennetaan forensisesti (puolustus 10 artiklan nojalla). Renderöidystä tekstistä tallennetaan muuttumaton tilannevedos (6 artiklan 5 kohta). <strong>Suosittelemme oikeudellista tarkistusta ennen Liitteen I tekstin mukauttamista.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Pois = lohko on piilotettu, mutta näyttötapahtumat tallennetaan edelleen palvelinpuolella predispatch-varamenetelmällä. Käytä vain sandbox-testaukseen. Oletus: päällä."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Valinnaiset URL-osoitteet, jotka renderöidään pyöreinä monogrammimerkkeinä sähköpostin alatunnisteessa. Jätä tyhjäksi piilottaaksesi."
"Sent when a customer cancels their own pending withdrawal.","Lähetetään, kun asiakas peruuttaa oman vireillä olevan peruutuksensa."
"Sent when a customer completes the withdrawal form.","Lähetetään, kun asiakas täyttää peruutuslomakkeen."
"Sent when an admin approves a withdrawal request.","Lähetetään, kun ylläpitäjä hyväksyy peruutuspyynnön."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Lähetetään, kun ylläpitäjä peruuttaa peruutuspyynnön asiakkaan puolesta."
"Sent when an admin denies a withdrawal request.","Lähetetään, kun ylläpitäjä hylkää peruutuspyynnön."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Nämä esiasetukset jättävät tietyt tuoteryhmät 14 päivän peruuttamisoikeuden ulkopuolelle kuluttajanoikeusdirektiivin 16 artiklan mukaisesti. Jokainen sääntö on oletuksena POIS — ota käyttöön vasta, kun olet varmistanut, että vastaava tuotemäärite on katalogissasi asetettu oikein."
"e.g. ""EU orders above €50""","esim. ”EU-tilaukset yli 50 €”"
"e.g. ""Free delivery""","esim. ”Ilmainen toimitus”"
"Admin Notifications","Ylläpitäjän ilmoitukset"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Sisäiset hälytykset tiimillesi. Riippumattomia alla olevien <em>Asiakasilmoitukset</em>-osion <em>Kauppiaan BCC</em>-valintaruuduista — jos otat molemmat käyttöön, saat kaksi sähköpostia per pyyntö."
"1. New Request Alert","1. Uuden pyynnön ilmoitus"
"Sent the moment a customer completes the two-step withdrawal flow.","Lähetetään sillä hetkellä, kun asiakas suorittaa kaksivaiheisen peruutusprosessin loppuun."
"Recipient Email(s)","Vastaanottajan sähköposti(t)"
"BCC","Piilokopio"
"New Withdrawal Request","Uusi peruutuspyyntö"
"A new withdrawal request was just submitted.","Uusi peruutuspyyntö lähetettiin juuri."
"Request:","Pyyntö:"
"Order:","Tilaus:"
"Customer:","Asiakas:"
"Refund Total:","Hyvityksen kokonaissumma:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Peruutus] Uusi pyyntö %request_increment_id · Tilaus #%order_increment_id · %refund_total"
"Anonymised","Anonymisoitu"
"Audit","Tarkastus"
"Cancel Order","Peruuta tilaus"
"Confirmation Email (Art. 11a(4))","Vahvistussähköposti (11a(4) artikla)"
"Detection (Art. 16(m))","Tunnistus (16(m) artikla)"
"Digital Waiver (Art. 16(m))","Digitaalinen luopuminen (16(m) artikla)"
"Email Identity","Lähettäjän identiteetti"
"ID","Tunnus"
"Integrity hash","Eheystiiviste"
"Pre-Contract Proof","Sopimusta edeltävä todiste"
"Verify this receipt","Vahvista tämä kuitti"
"Withdrawal Window","Peruutusaika"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tämä SHA-256-tiiviste yksilöi peruutustietueesi yksiselitteisesti. Voit tarkistaa sen milloin tahansa yllä olevalla painikkeella."
"Digital content waiver confirmation — Order %increment_id","Digitaalisen sisällön luopumisilmoitus — Tilaus %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Pilkulla eroteltuna. Jokainen vastaanottaja saa erillisen sähköpostin omalla ylläpitokielellään (ylläpitäjän interface_locale; varaus — general/locale/code). Virheelliset osoitteet hylätään ilman ilmoitusta."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Kuluttajansuojadirektiivin 16(m) artiklan mukainen digitaalisen sisällön tunnistus. Määrittää, mikä lasketaan digitaaliseksi sisällöksi peruutusoikeuden kannalta. Varsinainen luopumisen käyttöliittymä kassalla ja sähköposti löytyvät seuraavasta osiosta „Digitaalinen luopuminen“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Kuluttajansuojadirektiivin 16(m) artiklan poikkeus — digitaalinen sisältö, johon asiakas on (1) antanut nimenomaisen ennakkosuostumuksen toimituksen aloittamiseksi ja (2) tunnustanut peruutusoikeuden menettävänsä. Toimintoa ohjaa kaksi kytkintä: alaryhmä <em>Tunnistus</em> osiossa <em>Kelpoisuussäännöt</em> päättää, mikä on digitaalista (pääkytkin); tämä osio renderöi kassalla 2-valintaruutuisen luopumiskäyttöliittymän ja lähettää 11a(4) artiklan vahvistussähköpostin. Molempien on oltava PÄÄLLÄ. Maa-/kielikohtaiset tekstit alla. Käytä vain <strong>kertaluonteisiin digitaalisiin ostoksiin</strong> (e-kirjat, asennusohjelmat, musiikkitiedostot, pelit). <strong>Älä</strong> ota käyttöön jatkuviin digitaalisiin <strong>tilauksiin tai palveluihin</strong> (SaaS, suoratoisto, hostatut palvelut) — EU-oikeuskäytäntö (CJEU Sky, C-641/19) edellyttää toisenlaista suostumusvirtaa."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Määrittää, <strong>milloin</strong> 14 päivän peruutusoikeus alkaa (toimituslaukaisin, 9(2)(b) artikla) ja <strong>kuinka kauan</strong> se kestää päivissä (9(2) artikla). Yhdessä ne ohjaavat jokaisen tilauksen peruutusajan."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Oletus 14 päivää 9(2) artiklan mukaan. Pidennys sallittu (esim. 30, 100). Lyhennys alle 14:n on laitonta — kenttä hyväksyy vain 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Kun käytössä, ostoskorit, joissa on tunnistettu digitaalinen tuote, näyttävät 2-valintaruutuisen luopumisaskeleen kassalla. Ei vaikutusta, ellei myös <em>Kelpoisuussäännöt → Tunnistus → Ota digitaalisen sisällön tunnistus käyttöön</em> ole päällä."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valinnainen. Pilkulla eroteltuna. Lähettää piilokopion luopumisen vahvistussähköpostista kauppiaan tarkastusosoitteeseen. Jätä tyhjäksi ohittaaksesi."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Oikeudellinen varoitus.</strong> Kuluttajansuojadirektiivin 11a(2) artikla edellyttää sananmukaista tekstiä „peruuta sopimus tästä“ <em>tai vastaavaa yksiselitteistä muotoilua</em>. Oletusarvo („Peruuta sopimus tästä“) on Direktiivin sanatarkka ilmaisu; Kielikohtaiset käännökset ovat asianajajan vahvistamia. <strong>Älä korvaa, ellet ole saanut kirjallista neuvoa pätevältä kuluttajaoikeuden asianajajalta kohdejurisdiktiossa.</strong> Jokainen korvaus tallennetaan tarkastuslokiin."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Oikeudellinen varoitus.</strong> Tämä on lopullisen vahvistuspainikkeen otsikko. Oletus („Vahvista peruutus“) on asianajajan vahvistama; Kielikohtaiset käännökset ovat asianajajan vahvistamia. Korvaa vain kirjallisen oikeudellisen neuvonnan jälkeen; korvaukset tallennetaan tarkastuslokiin."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Peruutetaanko linkitetty tilaus? Maksua ei ole veloitettu, joten ei ole mitään palautettavaa — tilaus peruutetaan Magentossa."
"Scope & Applicability","Soveltamisala"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Määrittää, millä markkinoilla itsepalvelullinen peruutusprosessi on tarjolla. Nämä ovat kauppiaan liiketoimintapäätöksiä, eivät oikeudellisia poikkeuksia — EU-kuluttajan lakisääteinen peruuttamisoikeus ei riipu niistä, ja muulla tavoin (sähköpostitse, kirjeitse) saadut peruutukset on silti käsiteltävä manuaalisesti."
"Restrict by Country","Rajaa maan mukaan"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Tarjoaa itsepalvelullisen peruutusprosessin vain tilauksille, joiden lasku- <strong>tai</strong> toimitusosoite on valituissa maissa. <strong>Oikeudellinen huomautus:</strong> tämä rajoittaa vain verkkokaupan prosessia — EU-kuluttajan lakisääteinen peruuttamisoikeus ei riipu osoitteesta, ja muulla tavoin (sähköpostitse, kirjeitse) saadut peruutukset on silti käsiteltävä manuaalisesti. Oletus: pois käytöstä."
"Offer Withdrawal For Countries","Tarjoa peruutusta maille"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Esivalitut: EU-27 sekä ETA (Norja, Islanti, Liechtenstein). Lisää Yhdistynyt kuningaskunta manuaalisesti, jos kohderyhmäsi ovat brittiläiset kuluttajat (erillinen kansallinen järjestelmä vastaavalla 14 päivän oikeudella). Jos tyhjennät tämän luettelon, rajoituksella ei ole vaikutusta ja toiminto pysyy kaikkien asiakkaiden käytettävissä."
"Restrict by Customer Group","Rajaa asiakasryhmän mukaan"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Sulje pois asiakasryhmät"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Valmistettu määritystesi mukaan"
"Perishable goods","Helposti pilaantuvat tavarat"
"Sealed hygiene item — seal broken","Sinetöity hygieniatuote — sinetti rikottu"
"Sealed audio/video — seal broken","Sinetöity ääni/video — sinetti rikottu"
"Newspapers, periodicals, magazines","Sanomalehdet, aikakauslehdet, lehdet"
"Accommodation / event on specific date","Majoitus / tapahtuma tiettynä päivänä"
"Digital content — right waived at purchase","Digitaalinen sisältö — oikeudesta luovuttu ostohetkellä"
"Withdrawal period has expired","Peruuttamisaika on päättynyt"
"Already withdrawn in a prior request","Jo peruutettu aiemmassa pyynnössä"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Peruutusluonnos varaa tämän tuotteen. Vahvista se lähettämämme sähköpostin kautta tai peruuta se yllä olevassa osiossa ”Olemassa olevat peruutukset”."
"EU withdrawal request %1 was approved.","EU-peruutuspyyntö %1 on hyväksytty."
"EU withdrawal request %1 was approved. Refund: %2.","EU-peruutuspyyntö %1 on hyväksytty. Hyvitys: %2."
"EU withdrawal request %1 was denied.","EU-peruutuspyyntö %1 on hylätty."
"EU withdrawal request %1 was denied. Reason: %2","EU-peruutuspyyntö %1 on hylätty. Syy: %2"
"EU withdrawal request %1 was cancelled by the customer.","Asiakas peruutti EU-peruutuspyynnön %1."
"EU withdrawal request %1 was cancelled by an administrator.","Järjestelmänvalvoja peruutti EU-peruutuspyynnön %1."
"If Delivery Is Never Confirmed","Jos toimitusta ei koskaan vahvisteta"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Kun tilauksella on jo toimituksen vahvistustila, mutta siihen ei ole kirjattua siirtymää (ei toimituspäivää), valitse, pysyykö peruutus avoimena vai käsitelläänkö se ei-oikeutettuna. Oletus: ei oikeutettu."
"Statuses Excluded From Withdrawal","Peruutuksesta pois suljetut tilat"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Tilauksia, joiden nykyinen tila on valittu tässä, ei koskaan tarjota peruutettavaksi (esim. migraatiotila kuten <code>imported</code>). Älä valitse tilaa, jota aktiiviset, toimitettavat tilaukset käyttävät — se epäisi pätevän peruutuksen."
"Treat as not eligible","Käsittele ei-oikeutettuna"
"Keep withdrawal open","Pidä peruutus avoinna"
"Withdrawal not available for this order","Peruutus ei ole käytettävissä tälle tilaukselle"
"This order is not eligible for withdrawal.","Tämä tilaus ei ole oikeutettu peruutukseen."
"EU withdrawal request %1 submitted.","EU-peruutuspyyntö %1 on lähetetty."
"EU withdrawal request %1 submitted. Requested refund: %2.","EU-peruutuspyyntö %1 on lähetetty. Pyydetty hyvitys: %2."
"Show more orders","Näytä lisää tilauksia"
"Item Selection","Tuotteiden valinta"
"Per item (customer selects items and quantities)","Tuotekohtaisesti (asiakas valitsee tuotteet ja määrät)"
"Full order (all returnable items, no selection)","Koko tilaus (kaikki palautuskelpoiset tuotteet, ei valintaa)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Tuotekohtaisesti</em>: asiakas valitsee rivit ja määrät. <em>Koko tilaus</em>: pyyntö kattaa aina kaikki palautuskelpoiset tuotteet; lain nojalla poissuljetut tuotteet (avattu sinetti, päättynyt määräaika) poistetaan silti automaattisesti, ja lomakkeessa näytetään huomautus, että osittaisia palautuksia voi pyytää yhteydenottosivunne kautta.<br/><strong>⚠ Oikeudellinen varoitus.</strong> Saksan täytäntöönpanolain perustelut edellyttävät, että peruuttamistoiminto tukee tilauksen osien valitsemista. Pyydä neuvoa lakimieheltäsi ennen kuin vaihdat Koko tilaus -vaihtoehtoon."
"This request covers all returnable items of the order.","Tämä pyyntö kattaa tilauksen kaikki palautuskelpoiset tuotteet."
"Contact us for a partial return.","Ota yhteyttä osittaista palautusta varten."
"Review the items included in your return.","Tarkista palautukseesi sisältyvät tuotteet."
"Review the items to return","Tarkista palautettavat tuotteet"
"Self-service withdrawal is not available for this order.","Itsepalveluna tehtävä peruuttaminen ei ole käytettävissä tälle tilaukselle."
"VAT","ALV"
"Of which VAT","Josta ALV"
"Order Adjustment","Tilauksen oikaisu"
"Bundle Item Selection","Pakettituotteen osavalinta"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Ei</em> (oletus): pakettituote näytetään yhtenä palautuskelpoisena kokonaisuutena — asiakas palauttaa koko pakettituotteen. <em>Kyllä</em>: pakettituotteen hinnoitellut osat näytetään erillisinä palautuskelpoisina riveinä, kun ne voidaan palauttaa itsenäisesti (esim. yhdessä myydyt laite ja lisävaruste). Ota tämä käyttöön vain pakettituotteille, jotka kokoavat itsenäisesti palautettavia tuotteita; yhtenä tuotesettinä myyty pakettituote tulisi säilyttää palautuskelpoisena vain kokonaisuutena.<br/><strong>Oikeudellinen huomautus.</strong> Määritä tämä sen mukaan, miten kukin pakettituote tarjotaan ja mistä sopimus tehdään; pyydä neuvoa lakimieheltäsi, jos osien tulisi olla peruutettavissa erikseen."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Peruuttamisoikeuden menetyksen vahvistus (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Molemmat vahvistukset vaaditaan jatkaaksesi. Suostumuksesi kirjataan yllä näytetyn juridisen tekstin väärennystä havaitsevalla tiivisteellä."
"Digital Content Delivery — Required Waiver","Digitaalisen sisällön toimitus — vaadittu suostumus"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Nimenomainen suostumus (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Olen tietoinen siitä, että tämän seurauksena menetän peruuttamisoikeuteni heti, kun sopimuksen täyttäminen on alkanut."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Pyydän nimenomaisesti, että digitaalisen sisällön toimittaminen alkaa välittömästi, ennen 14 päivän peruuttamisajan päättymistä."
