"View Credit Memo","Ogled dobropisa"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Izrecno soglašam z začetkom izvajanja digitalne vsebine pred iztekom roka za odstop."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Zavedam se, da s to privolitvijo izgubim pravico do odstopa, takoj ko se izvedba začne (16. točka m) Direktive 2011/83/EU)."
"Withdrawals","Odstopi"
"Minimum %1 characters required.","Zahtevanih je najmanj %1 znakov."
"Failed to add note.","Opombe ni bilo mogoče dodati."
"Network error while adding note.","Omrežna napaka pri dodajanju opombe."
"Exported Evidence","Izvoženi dokazi"
"Pending Confirm","Čaka potrditev"
"Sent","Poslano"
"Failed Permanent","Trajno neuspešno"
"Failed Retry","Neuspešno, ponovni poskus"
"Eligible","Upravičeno"
"Excluded","Izključeno"
"Action","Dejanje"
"From","Iz"
"To","V"
"Admin Id","ID skrbnika"
"Order Id","ID naročila"
"Request Id","ID zahtevka"
"Item Count","Število artiklov"
"Rules Fired","Uporabljena pravila"
"Topic","Tema"
"Message Id","ID sporočila"
"Email To Hash","Razpršilo e-pošte"
"Attempts","Poskusi"
"Viewed At","Ogled"
"Referrer Host","Napotitveni gostitelj"
"Enable \Other\"" with Free Text""","Omogoči „Drugo“ s prostim besedilom"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Neobvezen pravni vzorec — njegova uporaba ni obvezna; pravico do odstopa lahko uveljavite tudi z vsako nedvoumno izjavo."
"Right of withdrawal","Pravica do odstopa"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Po prejemu naročila imate 14 dni časa za odstop brez navedbe razloga — celotno vračilo na vaš prvotni način plačila."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Nekateri izdelki so po zakonu lahko izključeni (pokvarljivo blago, izdelki po naročilu, zapečateni higienski ali avdio/video izdelki). Na naslednji strani vam bomo natančno prikazali, kaj izpolnjuje pogoje."
"Direct link — no login or account password required.","Neposredna povezava — prijava ali geslo računa nista potrebna."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Uporabniška izkušnja za stranko v toku odstopa. Podskupine: <em>Gumbi</em> (oznake s pravno težo), <em>Postavitve</em> (kje prikazati povezavo), <em>Razlogi za vračilo</em> (spustni meni za posamezni izdelek), <em>Korak pregleda</em> (vsebina v 3. koraku toka)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Onemogočite le, če potrdilo na trajnem nosilcu dostavljate po drugem kanalu."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Onemogočite le, če potrdilo dostavljate prek drugega trajnega nosilca (po pošti, prenosom iz strankinega računa ipd.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Prazna polja se vrnejo na izhodiščne vrednosti iz the locale baseline za jezik/jurisdikcijo. Vsaka prepisana vrednost postane del zgoščene vrednosti SHA-256, shranjene ob vsakem dogodku soglasja — sprememba polja po tem, ko so stranke že podale soglasje, <strong>ne</strong> razveljavi prejšnjih soglasij za nazaj."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obvezno predpogodbeno obvestilo o pravici do odstopa. Prikazano v koraku plačila ob zaključku nakupa. Vsak prikaz se forenzično beleži (obramba po čl. 10). Posnetek izrisanega besedila se hrani nespremenljivo (čl. 6(5)). <strong>Pred kakršno koli prilagoditvijo besedila Priloge I priporočamo pravni pregled.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Izklopljeno = blok je skrit, dogodki prikaza pa se še vedno beležijo na strani strežnika prek predispatch nadomestka. Uporabljajte le za testiranje v peskovniku. Privzeto: vklopljeno."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Neobvezni URL-ji, ki se v nogi e-pošte prikažejo kot okrogle monogramske značke. Pustite prazno, da jih skrijete."
"Sent when a customer cancels their own pending withdrawal.","Pošlje se, ko stranka prekliče lasten odstop, ki čaka na obravnavo."
"Sent when a customer completes the withdrawal form.","Pošlje se, ko stranka izpolni obrazec za odstop."
"Sent when an admin approves a withdrawal request.","Pošlje se, ko skrbnik odobri zahtevo za odstop."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Pošlje se, ko skrbnik prekliče zahtevo za odstop v imenu stranke."
"Sent when an admin denies a withdrawal request.","Pošlje se, ko skrbnik zavrne zahtevo za odstop."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Te prednastavitve izključujejo določene kategorije izdelkov iz 14-dnevne pravice do odstopa po čl. 16 Direktive o pravicah potrošnikov. Vsako pravilo je privzeto IZKLOPLJENO — vklopite ga šele po tem, ko ste potrdili, da je ustrezni atribut izdelka v katalogu pravilno nastavljen."
"e.g. ""EU orders above €50""","npr. „Naročila iz EU nad 50 €“"
"e.g. ""Free delivery""","npr. „Brezplačna dostava“"
"Qty: ","Kol.: "
"Submission failed. Please try again.","Pošiljanje ni uspelo. Prosimo, poskusite znova."
"Network error. Please try again.","Napaka omrežja. Prosimo, poskusite znova."
"Invalid server response.","Neveljaven odgovor strežnika."
"Admin Notifications","Skrbniška obvestila"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Notranja obvestila za vašo ekipo. Neodvisna od potrditvenih polj <em>BCC trgovcu</em> v razdelku <em>Obvestila strankam</em> spodaj — če omogočite oboje, boste prejeli dve e-poštni sporočili na zahtevo."
"1. New Request Alert","1. Obvestilo o novi zahtevi"
"Sent the moment a customer completes the two-step withdrawal flow.","Poslano v trenutku, ko stranka zaključi dvostopenjski postopek odstopa."
"Recipient Email(s)","E-pošta prejemnika"
"BCC","Skp"
"New Withdrawal Request","Nova zahteva za odstop"
"A new withdrawal request was just submitted.","Pravkar je bila oddana nova zahteva za odstop."
"Request:","Zahteva:"
"Order:","Naročilo:"
"Customer:","Stranka:"
"Refund Total:","Skupno povračilo:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Odstop] Nova zahteva %request_increment_id · Naročilo #%order_increment_id · %refund_total"
"Anonymised","Anonimizirano"
"Audit","Revizija"
"Cancel Order","Prekliči naročilo"
"Confirmation Email (Art. 11a(4))","E-pošta s potrditvijo (čl. 11a(4))"
"Detection (Art. 16(m))","Zaznavanje (čl. 16(m))"
"Digital Waiver (Art. 16(m))","Odpoved za digitalno vsebino (čl. 16(m))"
"Email Identity","Identiteta pošiljatelja"
"ID","ID"
"Integrity hash","Zgoščena vrednost integritete"
"Pre-Contract Proof","Predpogodbeni dokaz"
"Verify this receipt","Preveri to potrdilo"
"Withdrawal Window","Rok za odstop"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ta zgoščena vrednost SHA-256 enolično identificira vaš zapis o odstopu. Lahko ga kadar koli preverite z zgornjim gumbom."
"Digital content waiver confirmation — Order %increment_id","Potrditev odpovedi za digitalno vsebino — Naročilo %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Ločeno z vejicami. Vsak prejemnik prejme ločeno e-poštno sporočilo, izrisano v lastni skrbniški lokalizaciji (poiskano prek interface_locale skrbnika; rezerva — general/locale/code). Neveljavni naslovi se tiho zavržejo."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Zaznavanje digitalne vsebine po čl. 16(m) Direktive o pravicah potrošnikov. Določa, kaj se šteje za digitalno vsebino za namene upravičenosti. Dejanski UI odpovedi na blagajni in e-pošta sta v naslednjem razdelku „Odpoved za digitalno vsebino“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Izjema po čl. 16(m) Direktive o pravicah potrošnikov — digitalna vsebina, kjer je stranka (1) izrecno predhodno soglašala z začetkom izvajanja in (2) priznala izgubo pravice do odstopa. Funkcijo nadzirata dva stikala: podskupina <em>Zaznavanje</em> v <em>Pravilih upravičenosti</em> odloča, kaj se šteje za digitalno (glavno stikalo); ta razdelek prikaže UI odpovedi z 2 potrditvenima poljema na blagajni in pošlje potrditveni e-mail po čl. 11a(4). Oba morata biti VKLJUČENA. Prevodi besedila po lokalu spodaj. Uporabite samo za <strong>enkratne digitalne nakupe</strong> (e-knjige, namestitveni programi, glasbene datoteke, igre). <strong>Ne</strong> vklopite za neprekinjene digitalne <strong>naročnine ali storitve</strong> (SaaS, pretakanje, gostovana programska oprema) — sodna praksa EU (CJEU Sky, C-641/19) zahteva drugačen postopek soglašanja."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Določa, <strong>kdaj</strong> začne teči 14-dnevna pravica do odstopa (sprožilec dostave, čl. 9(2)(b)) in <strong>kako dolgo</strong> traja v dnevih (čl. 9(2)). Skupaj nadzirata obdobje, v katerem je odstop od posameznega naročila odprt."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Privzeto 14 dni po čl. 9(2). Podaljšanje dovoljeno (npr. 30, 100). Skrajšanje pod 14 je nezakonito — polje preverja samo 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Ko je vklopljeno, košarice z zaznano digitalno enoto na blagajni prikažejo korak odpovedi z 2 potrditvenima poljema. Nima učinka, razen če je vklopljeno tudi <em>Pravila upravičenosti → Zaznavanje → Omogoči zaznavanje digitalne vsebine</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neobvezno. Ločeno z vejicami. Pošlje slepo kopijo e-poštnega sporočila s potrditvijo odpovedi na trgovčev revizijski naslov. Pustite prazno za preskočitev."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Pravno opozorilo.</strong> Čl. 11a(2) Direktive o pravicah potrošnikov zahteva dobeseden zapis „tukaj odstopite od pogodbe“ <em>ali ustrezno nedvoumno formulacijo</em>. Privzeta vrednost („Tukaj odstopite od pogodbe“) je dobeseden izraz Direktive; Prevodi po lokalu so podpisani s strani odvetnika. <strong>Ne prepisujte, razen če ste prejeli pisni nasvet kvalificiranega odvetnika za potrošniško pravo v ciljni pristojnosti.</strong> Vsaka sprememba je zabeležena v revizijskem dnevniku."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Pravno opozorilo.</strong> To je oznaka končnega potrditvenega gumba. Privzeto („Potrdi odstop“) je podpisano s strani odvetnika; Prevodi po lokalu so podpisani s strani odvetnika. Prepisujte le s pisnim pravnim nasvetom; prepise se zabeleži v revizijskem dnevniku."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Prekliči povezano naročilo? Nobeno plačilo ni bilo zajeto, zato ni česar vrniti — naročilo bo preklicano v Magentu."
"Scope & Applicability","Obseg in uporaba"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Določa, na katerih trgih je ponujen samopostrežni postopek odstopa. To so poslovne odločitve trgovca, ne pravne izključitve — zakonska pravica potrošnika iz EU do odstopa ni odvisna od njih, izjave o odstopu, prejete po drugih poteh (e-pošta, pismo), pa je treba še vedno ročno upoštevati."
"Restrict by Country","Omeji po državi"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Samopostrežni postopek odstopa ponudi samo za naročila, katerih naslov za račun <strong>ali</strong> dostavo je v izbranih državah. <strong>Pravna opomba:</strong> to omejuje le postopek v trgovini — zakonska pravica potrošnika iz EU do odstopa ni odvisna od naslova, izjave o odstopu, prejete po drugih poteh (e-pošta, pismo), pa je treba še vedno ročno upoštevati. Privzeto: onemogočeno."
"Offer Withdrawal For Countries","Ponudi odstop za države"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Vnaprej izbrano: EU-27 in EGP (Norveška, Islandija, Lihtenštajn). Združeno kraljestvo dodajte ročno, če ciljate na potrošnike iz Združenega kraljestva (ločen nacionalni režim s primerljivo 14-dnevno pravico). Če ta seznam izpraznite, omejitev nima učinka in postopek ostane na voljo vsem strankam."
"Custom-made to your specifications","Izdelano po vaših specifikacijah"
"Perishable goods","Pokvarljivo blago"
"Sealed hygiene item — seal broken","Zapečaten higienski izdelek — pečat je poškodovan"
"Sealed audio/video — seal broken","Zapečateni avdio/video — pečat je poškodovan"
"Newspapers, periodicals, magazines","Časopisi, periodika, revije"
"Accommodation / event on specific date","Nastanitev / dogodek na določen datum"
"Digital content — right waived at purchase","Digitalna vsebina — pravica opuščena ob nakupu"
"Withdrawal period has expired","Rok za odstop je potekel"
"Already withdrawn in a prior request","Že odstopljeno v prejšnji zahtevi"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","To postavko zadržuje osnutek odstopa. Potrdite ga prek e-pošte, ki smo jo poslali, ali ga prekličite v razdelku „Obstoječi odstopi“ zgoraj."
"EU withdrawal request %1 was approved.","Zahteva za odstop EU %1 je bila odobrena."
"EU withdrawal request %1 was approved. Refund: %2.","Zahteva za odstop EU %1 je bila odobrena. Vračilo: %2."
"EU withdrawal request %1 was denied.","Zahteva za odstop EU %1 je bila zavrnjena."
"EU withdrawal request %1 was denied. Reason: %2","Zahteva za odstop EU %1 je bila zavrnjena. Razlog: %2"
"EU withdrawal request %1 was cancelled by the customer.","Zahteva za odstop EU %1 je bila preklicana s strani stranke."
"EU withdrawal request %1 was cancelled by an administrator.","Zahteva za odstop EU %1 je bila preklicana s strani skrbnika."
