"View Credit Memo","Vis kreditnota"
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Visse varer kan være udelukket ved lov (letfordærvelige varer, specialfremstillede varer, forseglede hygiejne- eller lyd-/videoprodukter). Vi viser dig præcist, hvad der er berettiget, på næste side."
"Direct link — no login or account password required.","Direkte link — kræver ikke login eller kontoadgangskode."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Kundevendt UX til fortrydelsesflowet. Undergrupper: <em>Knapper</em> (juridisk vigtige etiketter), <em>Placeringer</em> (hvor linket skal vises), <em>Returårsager</em> (dropdown pr. vare), <em>Gennemgangstrin</em> (indhold i flowets trin 3)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Deaktivér kun, hvis du leverer bekræftelsen på et varigt medium gennem en anden kanal."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Deaktivér kun, hvis du leverer kvitteringen via et andet varigt medium (almindelig post, download fra kundekontoen m.v.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Tomme felter falder tilbage til baseline i the locale baseline for det pågældende sprog/jurisdiktion. Enhver tilsidesat værdi indgår i SHA-256-hashen, der gemmes for hver samtykkehændelse — ændring af et felt, efter at kunder har givet samtykke, ugyldiggør <strong>ikke</strong> tidligere samtykker med tilbagevirkende kraft."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obligatorisk forhåndsinformation om fortrydelsesretten. Vises i checkoutens betalingstrin. Hver visning logges forensisk (forsvar efter art. 10). Et øjebliksbillede af den gengivne tekst gemmes uforanderligt (art. 6, stk. 5). <strong>Juridisk gennemgang anbefales, før tekst i bilag I tilpasses.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Slået fra = blokken er skjult, men visningshændelser registreres stadig på serversiden via predispatch-fallback. Anvendes kun til sandbox-test. Standard: til."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Valgfrie URL'er, der vises som runde monogrambadges i e-mailens sidefod. Lad feltet stå tomt for at skjule."
"Sent when a customer cancels their own pending withdrawal.","Sendes, når en kunde annullerer sin egen ventende fortrydelse."
"Sent when a customer completes the withdrawal form.","Sendes, når en kunde udfylder fortrydelsesformularen."
"Sent when an admin approves a withdrawal request.","Sendes, når en administrator godkender en fortrydelsesanmodning."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Sendes, når en administrator annullerer en fortrydelsesanmodning på vegne af kunden."
"Sent when an admin denies a withdrawal request.","Sendes, når en administrator afviser en fortrydelsesanmodning."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Disse forudindstillinger udelukker bestemte produktkategorier fra den 14-dages fortrydelsesret efter art. 16 CRD. Hver regel er som standard SLÅET FRA — aktivér først, når du har bekræftet, at det tilsvarende produktattribut er korrekt indstillet i dit katalog."
"e.g. ""EU orders above €50""","f.eks. ""EU-ordrer over 50 €"""
"e.g. ""Free delivery""","f.eks. ""Gratis levering"""
"Qty: ","Antal: "
"Submission failed. Please try again.","Indsendelse mislykkedes. Prøv venligst igen."
"Network error. Please try again.","Netværksfejl. Prøv venligst igen."
"Invalid server response.","Ugyldigt serversvar."
"Admin Notifications","Administratormeddelelser"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interne advarsler til dit team. Uafhængig af <em>BCC til forhandler</em>-felterne under <em>Kundemeddelelser</em> nedenfor — hvis du aktiverer begge, modtager du to e-mails per anmodning."
"1. New Request Alert","1. Advarsel om ny anmodning"
"Sent the moment a customer completes the two-step withdrawal flow.","Sendes i det øjeblik en kunde gennemfører to-trins-fortrydelsesforløbet."
"Recipient Email(s)","Modtagerens e-mail(s)"
"BCC","BCC"
"New Withdrawal Request","Ny fortrydelsesanmodning"
"A new withdrawal request was just submitted.","En ny fortrydelsesanmodning er netop blevet indsendt."
"Request:","Anmodning:"
"Order:","Ordre:"
"Customer:","Kunde:"
"Refund Total:","Refusion i alt:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Fortrydelse] Ny anmodning %request_increment_id · Ordre #%order_increment_id · %refund_total"
"Anonymised","Anonymiseret"
"Audit","Revision"
"Cancel Order","Annuller ordre"
"Confirmation Email (Art. 11a(4))","Bekræftelses-e-mail (art. 11a(4))"
"Detection (Art. 16(m))","Registrering (art. 16(m))"
"Digital Waiver (Art. 16(m))","Digital frafaldelse (art. 16(m))"
"Email Identity","Afsenderidentitet"
"ID","ID"
"Integrity hash","Integritets-hash"
"Pre-Contract Proof","Forhåndsbevis"
"Verify this receipt","Verificér denne kvittering"
"Withdrawal Window","Fortrydelsesfrist"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Denne SHA-256-hash identificerer entydigt din fortrydelsesregistrering. Du kan altid verificere den med knappen ovenfor."
"Digital content waiver confirmation — Order %increment_id","Bekræftelse af digital frafaldelse — Ordre %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Adskilt med komma. Hver modtager får en separat e-mail gengivet på deres egen admin-lokalitet (slået op via admin-brugerens interface_locale; reserve — general/locale/code). Ugyldige adresser ignoreres uden besked."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Art. 16(m) CRD-registrering af digitalt indhold. Afgør, hvad der tæller som digitalt indhold for fortrydelsesretsformål. Selve frafaldelses-UI ved checkout og e-mailen ligger i næste afsnit „Digital frafaldelse“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD-undtagelse — digitalt indhold, hvor kunden (1) udtrykkeligt har samtykket til at påbegynde leveringen og (2) har anerkendt tabet af fortrydelsesretten. To kontakter styrer funktionen: undergruppen <em>Registrering</em> under <em>Fortrydelsesregler</em> afgør, hvad der tæller som digitalt (hovedkontakt); denne sektion viser frafaldelses-UI med 2 afkrydsningsfelter i kassen og sender bekræftelses-e-mail efter art. 11a(4). Begge skal være TÆNDT. Per-lokalitets-tekstoverskrivninger nedenfor. Brug kun til <strong>engangsindkøb af digitalt indhold</strong> (e-bøger, installationsfiler, musikfiler, spil). Aktivér <strong>ikke</strong> for løbende digitale <strong>abonnementer eller tjenester</strong> (SaaS, streaming, hostede tjenester) — EU-retspraksis (CJEU Sky, C-641/19) kræver et andet samtykkeforløb."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definerer, <strong>hvornår</strong> den 14-dages fortrydelsesret begynder (leveringstrigger, art. 9(2)(b)), og <strong>hvor længe</strong> den varer i dage (art. 9(2)). Tilsammen styrer de fortrydelsesperioden for hver ordre."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Standard 14 dage iht. art. 9(2). Forlængelse tilladt (f.eks. 30, 100). Reduktion under 14 er ulovlig — feltet validerer kun 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Når aktiveret, viser kurve med en registreret digital vare frafaldelsestrinet med 2 afkrydsningsfelter ved checkout. Har ingen virkning, medmindre <em>Fortrydelsesregler → Registrering → Aktivér registrering af digitalt indhold</em> også er aktiveret."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valgfrit. Adskilt med komma. Sender blind kopi af frafaldelses-bekræftelsesmailen til en handlers revisionsadresse. Lad være tomt for at springe over."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Juridisk advarsel.</strong> Art. 11a(2) CRD kræver den ordrette tekst „træd tilbage fra kontrakten her“ <em>eller en tilsvarende utvetydig formulering</em>. Standardværdien („Træd tilbage fra kontrakten her“) er Direktivets ordrette frase; Per-lokalitets-oversættelser er advokat-godkendt. <strong>Tilsidesæt ikke, medmindre du har modtaget skriftlig rådgivning fra en kvalificeret forbrugerretsadvokat i den pågældende jurisdiktion.</strong> Hver tilsidesættelse registreres i revisionsloggen."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisk advarsel.</strong> Dette er etiketten på den endelige bekræftelsesknap. Standardværdien („Bekræft fortrydelse“) er advokat-godkendt; Per-lokalitets-oversættelser er advokat-godkendt. Tilsidesæt kun med skriftlig juridisk rådgivning; tilsidesættelser registreres i revisionsloggen."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Annuller den tilknyttede ordre? Ingen betaling er gennemført, så der er intet at refundere — ordren annulleres i Magento."
"Scope & Applicability","Omfang og anvendelse"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Styrer, på hvilke markeder selvbetjent fortrydelse tilbydes. Dette er forhandlerens forretningsbeslutninger, ikke juridiske undtagelser — en EU-forbrugers lovbestemte fortrydelsesret afhænger ikke af dem, og fortrydelser modtaget på anden måde (e-mail, brev) skal stadig håndteres manuelt."
"Restrict by Country","Begræns efter land"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Tilbyder kun den selvbetjente fortrydelse for ordrer, hvis faktura- <strong>eller</strong> leveringsadresse er i de valgte lande. <strong>Juridisk bemærkning:</strong> dette begrænser kun forløbet i butikken — en EU-forbrugers lovbestemte fortrydelsesret afhænger ikke af adressen, og fortrydelser modtaget på anden måde (e-mail, brev) skal stadig håndteres manuelt. Standard: slået fra."
"Offer Withdrawal For Countries","Tilbyd fortrydelse for lande"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Forudvalgt: EU-27 plus EØS (Norge, Island, Liechtenstein). Tilføj Storbritannien manuelt, hvis du henvender dig til britiske forbrugere (særskilt national ordning med en tilsvarende 14-dages ret). Hvis du rydder denne liste, har begrænsningen ingen effekt, og forløbet forbliver tilgængeligt for alle kunder."
"Restrict by Customer Group","Begræns efter kundegruppe"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Udeluk kundegrupper"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Fremstillet efter dine specifikationer"
"Perishable goods","Letfordærvelige varer"
"Sealed hygiene item — seal broken","Forseglet hygiejnevare — forseglingen er brudt"
"Sealed audio/video — seal broken","Forseglet lyd/video — forseglingen er brudt"
"Newspapers, periodicals, magazines","Aviser, tidsskrifter, magasiner"
"Accommodation / event on specific date","Indkvartering / arrangement på en bestemt dato"
"Digital content — right waived at purchase","Digitalt indhold — retten er fraskrevet ved køb"
"Withdrawal period has expired","Fortrydelsesfristen er udløbet"
"Already withdrawn in a prior request","Allerede fortrudt i en tidligere anmodning"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","En kladde til fortrydelse holder denne vare. Bekræft den via den e-mail, vi har sendt, eller annullér den i afsnittet „Eksisterende fortrydelser“ ovenfor."
"EU withdrawal request %1 was approved.","EU-fortrydelsesanmodning %1 er godkendt."
"EU withdrawal request %1 was approved. Refund: %2.","EU-fortrydelsesanmodning %1 er godkendt. Refusion: %2."
"EU withdrawal request %1 was denied.","EU-fortrydelsesanmodning %1 er afvist."
"EU withdrawal request %1 was denied. Reason: %2","EU-fortrydelsesanmodning %1 er afvist. Årsag: %2"
"EU withdrawal request %1 was cancelled by the customer.","EU-fortrydelsesanmodning %1 er annulleret af kunden."
"EU withdrawal request %1 was cancelled by an administrator.","EU-fortrydelsesanmodning %1 er annulleret af en administrator."
"If Delivery Is Never Confirmed","Hvis leveringen aldrig bekræftes"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Når en ordre allerede har en leveringsbekræftelsesstatus, men der ikke er nogen registreret overgang til den (ingen leveringsdato), skal du vælge, om fortrydelsen forbliver åben eller behandles som ikke berettiget. Standard: ikke berettiget."
"Statuses Excluded From Withdrawal","Statusser udelukket fra fortrydelse"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Ordrer, hvis aktuelle status er valgt her, tilbydes aldrig til fortrydelse (f.eks. en migreringsstatus som <code>imported</code>). Vælg ikke en status, der bruges af aktive, leverbare ordrer — det vil nægte en gyldig fortrydelse."
"Treat as not eligible","Behandl som ikke berettiget"
"Keep withdrawal open","Hold fortrydelsen åben"
"Withdrawal not available for this order","Fortrydelse er ikke tilgængelig for denne ordre"
"This order is not eligible for withdrawal.","Denne ordre er ikke berettiget til fortrydelse."
"EU withdrawal request %1 submitted.","EU-fortrydelsesanmodning %1 er sendt."
"EU withdrawal request %1 submitted. Requested refund: %2.","EU-fortrydelsesanmodning %1 er sendt. Anmodet refusion: %2."
"Show more orders","Vis flere ordrer"
"Item Selection","Valg af varer"
"Per item (customer selects items and quantities)","Pr. vare (kunden vælger varer og antal)"
"Full order (all returnable items, no selection)","Hele ordren (alle returberettigede varer, intet valg)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Pr. vare</em>: kunden vælger linjer og antal. <em>Hele ordren</em>: anmodningen omfatter altid alle returberettigede varer; varer, der er undtaget ved lov (brudt forsegling, udløbet frist), fjernes fortsat automatisk, og formularen viser en note om, at delvis fortrydelse kan anmodes via din kontaktside.<br/><strong>⚠ Juridisk advarsel.</strong> De forklarende bemærkninger til den tyske gennemførelseslov forudsætter, at fortrydelsesfunktionen understøtter valg af dele af ordren. Rådfør dig med din juridiske rådgiver, før du skifter til Hele ordren."
"This request covers all returnable items of the order.","Denne anmodning omfatter alle returberettigede varer i ordren."
"Contact us for a partial return.","Kontakt os for en delvis fortrydelse."
"Review the items included in your return.","Gennemse de varer, der er omfattet af din fortrydelse."
"Review the items to return","Gennemse de varer, der skal returneres"
"Self-service withdrawal is not available for this order.","Selvbetjent fortrydelse er ikke tilgængelig for denne ordre."
