"View Credit Memo","Skatīt kredītrēķinu"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Teksts, kas redzams solī „Pārskatīt un apstiprināt“ (3. solis). Piemērs: „Apstiprinājuma e-pastā saņemsiet priekšapmaksātu sūtījuma etiķeti.“ vai „Atgriešanas piegādes izmaksas sedz klients.“ Atstājiet tukšu, lai paslēptu rindu."
"Return Policy URL","Atgriešanas politikas URL"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Neobligāta saite, kas tiek attēlota blakus piegādes paziņojumam („Skatīt atgriešanas politiku“). Pieņem absolūtas URL vai relatīvus ceļus, piemēram, „return-policy“."
"Customer Notifications","Paziņojumi klientiem"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Visi moduļa nosūtītie klientiem adresētie e-pasti. Katru e-pastu var iespējot/atspējot, piešķirt pielāgotu veidni (Mārketings → E-pasta veidnes) un nosūtīt slēptā kopijā tirgotāja adresei. Apakšā kopīgā apakšgrupa <em>Zīmola identitāte</em> kontrolē izkārtojumu (USP josla, sociālo tīklu saites), ko izmanto katrs no zemāk minētajiem e-pastiem."
"1. Submission Confirmation Email","1. Iesniegšanas apstiprinājuma e-pasts"
"Enabled","Iespējots"
"Email Template","E-pasta veidne"
"BCC Merchant","Slēpta kopija tirgotājam"
"Comma-separated. Leave blank to disable.","Atdalīts ar komatiem. Atstājiet tukšu, lai atspējotu."
"2. Approval Email","2. Apstiprinājuma e-pasts"
"3. Denial Email","3. Noraidīšanas e-pasts"
"4. Cancellation Email (Admin-Initiated)","4. Atcelšanas e-pasts (uzsāka administrators)"
"5. Cancellation Email (Customer Self-Cancel)","5. Atcelšanas e-pasts (klients atcēla pats)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Apstiprinājuma e-pasts (pastāvīgs informācijas nesējs — 11.a panta 4. punkts)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Juridiski nepieciešams pastāvīgā informācijas nesēja apstiprinājums. To nevar pilnībā atspējot (Direktīvas 2011/83/ES 11.a panta 4. punkts). Atspējošana šeit tikai aptur nosūtīšanu — apliecinājums joprojām tiek ģenerēts un saglabāts."
"Send Email","Sūtīt e-pastu"
"Comma-separated.","Atdalīts ar komatiem."
"Delivery Retry Attempts","Piegādes atkārtotie mēģinājumi"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","DLQ brīdinājuma saņēmējs"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Tiek informēts, kad apliecinājuma nosūtīšana neatgriezeniski neizdodas. Rezerves vērtība: Veikala e-pasta adreses → Vispārīgais kontakts."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Digitālās piekrišanas apstiprinājuma e-pasts (11.a panta 4. punkts)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Klienta 16. panta m) apakšpunkta atteikšanās kopija pastāvīgā informācijas nesējā, nosūtīta uzreiz pēc norēķiniem, kad grozā ir digitālā prece. To pieprasa Direktīvas 2011/83/ES 11.a panta 4. punkts — tā saglabā pret manipulācijām aizsargātu ierakstu juridiskajam tekstam, kuram klients piekrita, kā arī SHA-256 jaucējkodu jaucējkodu ķēdes pārbaudei."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Atdalīts ar komatiem. Saņem katra apstiprinājuma kopiju audita vajadzībām."
"Branding (Shared by All Emails Above)","Zīmola identitāte (kopīga visiem augstāk minētajiem e-pastiem)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Neobligāta klientam adresēto e-pastu rotāšana. Tukši lauki paslēpj attiecīgās rindas. Zīmola nosaukums, logotips, atbalsta e-pasts un veikala adrese tiek nolasīti no standarta Magento konfigurācijas koka (Veikali → Konfigurācija → Vispārīgi + Dizains → Transakciju e-pasti)."
"USP Strip — Item 1","USP josla — 1. elements"
"Icon","Ikona"
"Title","Virsraksts"
"Subtitle","Apakšvirsraksts"
"USP Strip — Item 2","USP josla — 2. elements"
"USP Strip — Item 3","USP josla — 3. elements"
"Social Links","Sociālo tīklu saites"
"Instagram URL","Instagram URL"
"X / Twitter URL","X / Twitter URL"
"Facebook URL","Facebook URL"
"YouTube URL","YouTube URL"
"Privacy & Retention","Privātums un glabāšana"
"Two-stage GDPR data lifecycle for the <code>mm_eu_withdrawal_request</code> table. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods, so we store them on the same row and age them out separately.","Divpakāpju GDPR datu dzīves cikls tabulai <code>mm_eu_withdrawal_request</code>. Atteikuma pieprasījumi satur gan <em>personu identificējošus</em> datus (klienta vārds, e-pasts, IP, lietotāja aģents, administratora piezīmes, noraidīšanas iemesli), gan satura jaucējkodu, kas ir 11.a panta 4. punkta <em>pastāvīgā informācijas nesēja</em> juridiskais pierādījums. Abiem ir atšķirīgi obligātie glabāšanas termiņi, tāpēc mēs tos glabājam vienā rindā un dzēšam atsevišķi."
"PII Retention (days)","Personas datu glabāšanas laiks (dienās)"
"How long the <strong>personally identifiable columns</strong> stay on a row before the daily cron <strong>nullifies</strong> them: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. The row itself stays — only PII is wiped. Counted from the row's <code>created_at</code>.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Cik ilgi <strong>personu identificējošās kolonnas</strong> paliek rindā pirms ikdienas cron tās <strong>anulē</strong>: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. Pati rinda paliek — tiek dzēsti tikai personu identificējoši dati. Skaita no rindas <code>created_at</code>.<br/><br/>
                        <strong>Noklusējums: 730 dienas (2 gadi).</strong> Šī ir minimālā vērtība — GDPR 5. panta 1. punkta e) apakšpunkts („glabāšanas ierobežojums“) līdzsvarā ar patērētāju tiesību prasību noilgumu vairumā ES dalībvalstu (1–2 gadi). Diapazons: 730–3650 dienas."
"Hash Retention (days)","Jaucējkodu glabāšanas laiks (dienās)"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Cik ilgi paliek <strong>satura jaucējkods</strong> (11.a panta 4. punkta pastāvīgā informācijas nesēja pierādījums). Pēc tam, kad personu identificējošie dati iepriekš ir dzēsti, rindā paliek tikai SHA-256 jaucējkods + apliecinājuma laika zīmogi, līdz beidzas šis termiņš; tad cron <strong>dzēš visu rindu</strong>.<br/><br/>
                        <strong>Noklusējums: 2190 dienas (6 gadi).</strong> Atbilst garākajai komercieraksta glabāšanas saistībai ES dalībvalstīs (parasti 6 gadi grāmatvedībai / PVN). Jābūt ≥ personu datu glabāšanas laikam. Diapazons: 2190–3650 dienas."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Tikai pievienojams audita žurnāls visiem atteikuma dzīves cikla notikumiem (GDPR 5. panta 2. punkts par pārskatatbildību).
                    Personas dati (IP, lietotāja aģents, klienta dalībnieka ID) pēc glabāšanas termiņa beigām tiek automātiski anulēti.
                    Pašas audita rindas nekad netiek dzēstas — tikai anonimizētas."
"Order #","Pasūtījums #"
"Contract","Līgums"
"Submitter","Iesniedzējs"
"Withdrawal submitted","Atteikums iesniegts"
"Right of Withdrawal — Required Information","Atteikuma tiesības — Obligātā informācija"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Pirms pasūtījuma veikšanas, lūdzu, iepazīstieties ar nosacījumiem, termiņu un procedūrām, kā izmantot savas 14 dienu atteikuma tiesības. Šī informācija ir jūsu līguma neatņemama sastāvdaļa."
"Conditions, Time Limit and Procedures for Withdrawal","Atteikuma nosacījumi, termiņš un procedūras"
"Start Online Return","Sākt tiešsaistes atgriešanu"
"Download Model Withdrawal Form (Annex I(B))","Lejupielādēt atteikuma veidlapas paraugu (I pielikuma B daļa)"
"Withdrawal Information v%1 — Issued %2","Atteikuma informācija v%1 — izdota %2"
"You'll receive a prepaid shipping label in the confirmation email.","Apstiprinājuma e-pastā saņemsiet priekšapmaksātu sūtījuma etiķeti."
"← Back to order search","← Atpakaļ uz pasūtījumu meklēšanu"
"← Back to items","← Atpakaļ pie precēm"
"Find order","Atrast pasūtījumu"
"Enter your order number and email","Ievadiet pasūtījuma numuru un e-pastu"
"Select items","Izvēlēties preces"
"Choose items to return (partial withdrawal)","Izvēlieties atgriežamās preces (daļējs atteikums)"
"Review & confirm","Pārskatīt un apstiprināt"
"Review your return details and confirm","Pārskatiet atgriešanas datus un apstipriniet"
"Request submitted","Pieprasījums iesniegts"
"We'll confirm your request by email","Jūsu pieprasījumu apstiprināsim pa e-pastu"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Skaidri piekrītu digitālā satura izpildes uzsākšanai pirms atteikuma termiņa beigām."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Apzinos, ka, sniedzot šo piekrišanu, zaudēju savas atteikuma tiesības pēc izpildes uzsākšanas (Direktīvas 2011/83/ES 16. panta m apakšpunkts)."
"Withdrawals","Atteikumi"
"Minimum %1 characters required.","Nepieciešamas vismaz %1 rakstzīmes."
"Failed to add note.","Neizdevās pievienot piezīmi."
"Network error while adding note.","Tīkla kļūda, pievienojot piezīmi."
"Exported Evidence","Eksportēti pierādījumi"
"Pending Confirm","Gaida apstiprinājumu"
"Sent","Nosūtīts"
"Failed Permanent","Neizdevās pavisam"
"Failed Retry","Neizdevās, mēģina vēlreiz"
"Eligible","Atbilstošs"
"Excluded","Izslēgts"
"Action","Darbība"
"From","No"
"To","Uz"
"Admin Id","Administratora ID"
"Order Id","Pasūtījuma ID"
"Request Id","Pieprasījuma ID"
"Item Count","Preču skaits"
"Rules Fired","Lietotie noteikumi"
"Topic","Temats"
"Message Id","Ziņojuma ID"
"Email To Hash","E-pasta jaucējkods"
"Attempts","Mēģinājumi"
"Viewed At","Skatīts"
"Referrer Host","Norādītājsaimnieks"
"Enable \Other\"" with Free Text""","Iespējot „Cits“ ar brīvu tekstu"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Neobligāts juridiskais paraugs — to izmantot nav obligāti; atteikuma tiesības var īstenot arī ar jebkuru nepārprotamu paziņojumu."
"Right of withdrawal","Atteikuma tiesības"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Jums ir 14 dienas no pasūtījuma saņemšanas dienas, lai atteiktos, nenorādot iemeslu — pilna atmaksa uz jūsu sākotnējo maksāšanas veidu."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Dažas preces saskaņā ar likumu var tikt izslēgtas (ātri bojājošās preces, pēc pasūtījuma izgatavotas preces, aizzīmogotas higiēnas vai audio/video preces). Nākamajā lapā parādīsim, kas tieši ir atbilstošs."
"Direct link — no login or account password required.","Tieša saite — nav nepieciešama pieteikšanās vai konta parole."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Klientam paredzēta UX atteikuma plūsmai. Apakšgrupas: <em>Pogas</em> (juridiski svarīgas etiķetes), <em>Izvietojumi</em> (kur parādīt saiti), <em>Atgriešanas iemesli</em> (nolaižamais saraksts katrai precei), <em>Pārskatīšanas solis</em> (saturs plūsmas 3. solī)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Atspējojiet tikai tad, ja apliecinājumu pastāvīgā informācijas nesējā piegādājat pa citu kanālu."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Atspējojiet tikai tad, ja apliecinājumu piegādājat pa citu pastāvīgo informācijas nesēju (parasto pastu, lejupielādi no klienta konta utt.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Tukši lauki atgriežas pie the locale baseline bāzes vērtībām attiecīgajai lokālei/jurisdikcijai. Jebkura aizstājošā vērtība kļūst par daļu no SHA-256 jaucējkoda, kas tiek saglabāts katram piekrišanas notikumam — lauka maiņa pēc tam, kad klienti devuši piekrišanu, <strong>nepadara</strong> iepriekšējās piekrišanas par nederīgām ar atpakaļejošu spēku."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obligāta pirmslīguma informācija par atteikuma tiesībām. Tiek parādīta norēķinu maksājuma solī. Katra parādīšana tiek juridiski uzticami reģistrēta (10. panta aizstāvība). Renderētā teksta momentuzņēmums tiek saglabāts nemainīgi (6. panta 5. punkts). <strong>Pirms jebkura I pielikuma teksta pielāgošanas ieteicama juridiska pārskatīšana.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Izslēgts = bloks ir paslēpts, bet rādīšanas notikumi joprojām tiek reģistrēti servera pusē, izmantojot predispatch rezervi. Izmantojiet tikai sandbox testēšanai. Noklusējuma: ieslēgts."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Neobligātas URL adreses, kas parādītas kā apaļas monogrammas atzīmes e-pasta kājenē. Lai paslēptu, atstājiet tukšu."
"Sent when a customer cancels their own pending withdrawal.","Tiek nosūtīts, kad klients atceļ savu neapstiprināto atteikumu."
"Sent when a customer completes the withdrawal form.","Tiek nosūtīts, kad klients aizpilda atteikuma veidlapu."
"Sent when an admin approves a withdrawal request.","Tiek nosūtīts, kad administrators apstiprina atteikuma pieprasījumu."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Tiek nosūtīts, kad administrators atceļ atteikuma pieprasījumu klienta vārdā."
"Sent when an admin denies a withdrawal request.","Tiek nosūtīts, kad administrators noraida atteikuma pieprasījumu."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Šīs iepriekšiestatījumi izslēdz noteiktas produktu kategorijas no 14 dienu atteikuma tiesībām saskaņā ar Direktīvas 2011/83/ES 16. pantu. Katrs noteikums pēc noklusējuma ir IZSLĒGTS — iespējojiet tikai pēc tam, kad esat pārliecinājies, ka attiecīgais produkta atribūts katalogā ir iestatīts pareizi."
"e.g. ""EU orders above €50""","piem., „ES pasūtījumi virs 50 €”"
"e.g. ""Free delivery""","piem., „Bezmaksas piegāde”"
"Qty: ","Daudzums: "
"Submission failed. Please try again.","Iesniegšana neizdevās. Lūdzu, mēģiniet vēlreiz."
"Network error. Please try again.","Tīkla kļūda. Lūdzu, mēģiniet vēlreiz."
"Invalid server response.","Nederīga servera atbilde."
"Admin Notifications","Administratora paziņojumi"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Iekšējie brīdinājumi jūsu komandai. Neatkarīgi no zemāk esošās <em>Klientu paziņojumi</em> sadaļas <em>BCC tirgotājam</em> izvēles rūtiņām — ja iespējosiet abus, saņemsiet divus e-pastus uz katru pieprasījumu."
"1. New Request Alert","1. Jauna pieprasījuma brīdinājums"
"Sent the moment a customer completes the two-step withdrawal flow.","Tiek nosūtīts brīdī, kad klients pabeidz divpakāpju atteikšanās plūsmu."
"Recipient Email(s)","Saņēmēja e-pasts"
"BCC","Diskrētā kopija"
"New Withdrawal Request","Jauns atteikuma pieprasījums"
"A new withdrawal request was just submitted.","Tikko tika iesniegts jauns atteikuma pieprasījums."
"Request:","Pieprasījums:"
"Order:","Pasūtījums:"
"Customer:","Klients:"
"Refund Total:","Atmaksas kopsumma:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Atteikums] Jauns pieprasījums %request_increment_id · Pasūtījums #%order_increment_id · %refund_total"
"Anonymised","Anonimizēts"
"Audit","Audits"
"Cancel Order","Atcelt pasūtījumu"
"Confirmation Email (Art. 11a(4))","Apstiprinājuma e-pasts (11.a(4) pants)"
"Detection (Art. 16(m))","Atklāšana (16.(m) pants)"
"Digital Waiver (Art. 16(m))","Digitāla atteikšanās (16.(m) pants)"
"Email Identity","Sūtītāja identitāte"
"ID","ID"
"Integrity hash","Integritātes jaucējkods"
"Pre-Contract Proof","Pirmslīguma pierādījums"
"Verify this receipt","Pārbaudīt šo kvīti"
"Withdrawal Window","Atteikuma termiņš"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Šis SHA-256 jaucējkods unikāli identificē jūsu atteikuma ierakstu. Jūs varat to pārbaudīt jebkurā laikā, izmantojot iepriekš redzamo pogu."
"Digital content waiver confirmation — Order %increment_id","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Atdalīti ar komatu. Katrs saņēmējs saņem atsevišķu e-pastu, atveidotu viņa paša administratora lokā (caur administratora interface_locale; rezerve — general/locale/code). Nederīgas adreses tiek klusi atmestas."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Digitālā satura atklāšana saskaņā ar Patērētāju tiesību direktīvas 16.(m) pantu. Nosaka, kas skaitās digitālais saturs atteikuma tiesību nolūkos. Faktiskā atteikšanās UI noformēšanas brīdī un e-pasts atrodas nākamajā sadaļā „Digitāla atteikšanās“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Patērētāju tiesību direktīvas 16.(m) panta izņēmums — digitālais saturs, kuram klients (1) ir sniedzis tiešu iepriekšēju piekrišanu uzsākt izpildi un (2) atzinis atteikuma tiesību zaudēšanu. Funkciju vada divi slēdži: apakšgrupa <em>Atklāšana</em> sadaļā <em>Atbilstības noteikumi</em> nosaka, kas skaitās digitāls (galvenais slēdzis); šī sadaļa attēlo 2 izvēles rūtiņu atteikšanās UI noformēšanas brīdī un nosūta 11.a(4) panta apstiprinājuma e-pastu. Abiem jābūt IESLĒGTIEM. Tekstu pārrakstīšana pa lokalēm zemāk. Izmantojiet tikai <strong>vienreizējiem digitālajiem pirkumiem</strong> (e-grāmatas, instalētāji, mūzikas faili, spēles). <strong>Neie</strong>slēdziet nepārtrauktiem digitāliem <strong>abonementiem vai pakalpojumiem</strong> (SaaS, straumēšana, mitināta PS) — ES judikatūra (CJEU Sky, C-641/19) prasa citu piekrišanas plūsmu."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Nosaka, <strong>kad</strong> sākas 14 dienu atteikuma tiesības (piegādes aktivizētājs, 9.(2)(b) pants) un <strong>cik</strong> dienas tās ilgst (9.(2) pants). Kopā tie nosaka periodu, kurā katra pasūtījuma atteikšanās ir atvērta."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Noklusējuma 14 dienas saskaņā ar 9.(2) pantu. Pagarinājums atļauts (piem., 30, 100). Saīsināšana zem 14 ir nelikumīga — lauks validē tikai 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Kad ieslēgts, grozi, kuros ir konstatēts digitāls vienums, noformēšanas brīdī rāda 2 izvēles rūtiņu atteikšanās soli. Nedarbosies, ja vienlaikus nav ieslēgts arī <em>Atbilstības noteikumi → Atklāšana → Iespējot digitālā satura atklāšanu</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Pēc izvēles. Atdalīti ar komatu. Sūta atteikšanās apstiprinājuma e-pasta diskrēto kopiju tirgotāja audita adresei. Atstājiet tukšu, lai izlaistu."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Juridisks brīdinājums.</strong> Patērētāju tiesību direktīvas 11.a(2) pants prasa burtisku tekstu „atteikties no līguma šeit“ <em>vai atbilstošu nepārprotamu formulējumu</em>. Noklusētā vērtība („Atteikties no līguma šeit“) ir Direktīvas vārds vārdā frāze; Lokalizācijas tulkojumi ir parakstīti juristu. <strong>Nepārrakstiet, ja vien neesat saņēmis rakstisku padomu no kvalificēta patērētāju tiesību advokāta mērķa jurisdikcijā.</strong> Katra pārrakstīšana tiek reģistrēta audita žurnālā."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisks brīdinājums.</strong> Šī ir galīgās apstiprināšanas pogas iezīme. Noklusētā vērtība („Apstiprināt atteikšanos“) ir juristu parakstīta; Lokalizācijas tulkojumi ir juristu parakstīti. Pārrakstiet tikai ar rakstisku juridisku padomu; pārrakstīšana tiek reģistrēta audita žurnālā."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Atcelt saistīto pasūtījumu? Maksājums nav pieņemts, tāpēc nav nekā ko atmaksāt — pasūtījums tiks atcelts Magento."
"Two-stage GDPR data lifecycle. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods and are aged out separately.","Divpakāpju GDPR datu dzīves cikls. Atteikuma pieprasījumi satur gan <em>personu identificējošus</em> datus (klienta vārds, e-pasts, IP, lietotāja aģents, administratora piezīmes, atteikuma iemesli), gan satura jaucējkodu, kas ir 11.a(4) panta <em>noturīga datu nesēja</em> juridisks pierādījums. Tiem ir dažādi obligāti glabāšanas periodi un tie tiek atmesti atsevišķi."
"How long the <strong>personally identifiable fields</strong> (customer name, email, IP, user agent, denial reason, admin note) are kept before they are nullified by the daily privacy cron. The withdrawal record itself stays — only PII is wiped. Counted from the record's creation date.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Cik ilgi <strong>personu identificējošie lauki</strong> (klienta vārds, e-pasts, IP, lietotāja aģents, atteikuma iemesls, administratora piezīme) tiek glabāti, pirms tos anulē ikdienas privātuma cron. Pats atteikuma ieraksts paliek — tiek dzēsts tikai PII. Skaita no ieraksta izveides datuma.<br/><br/>
                        <strong>Noklusētais: 730 dienas (2 gadi).</strong> Tas ir minimums — GDPR 5.(1)(e) pants („uzglabāšanas ierobežojums“) līdzsvarots ar patērētāju tiesību prasību noilguma termiņiem vairumā ES dalībvalstu (1–2 gadi). Diapazons: 730–3650 dienas."
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) is retained. After PII has been wiped, the record keeps only the hash and receipt timestamps until this period expires; then the record is deleted entirely.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Cik ilgi tiek saglabāts <strong>satura jaucējkods</strong> (11.a(4) panta noturīga datu nesēja pierādījums). Pēc PII dzēšanas ieraksts saglabā tikai jaucējkodu un kvīts laika zīmogus līdz šī perioda beigām; pēc tam ieraksts tiek pilnībā dzēsts.<br/><br/>
                        <strong>Noklusētais: 2190 dienas (6 gadi).</strong> Atbilst garākajam komercdokumentu uzglabāšanas pienākumam ES dalībvalstīs (parasti 6 gadi grāmatvedībai / PVN). Jābūt ≥ PII glabāšana. Diapazons: 2190–3650 dienas."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability). Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period. The audit log itself stays — only PII is wiped.","Append-only audita žurnāls visiem atteikuma dzīves cikla notikumiem (GDPR 5.(2) panta atbildība). Personas dati (IP, user agent, klienta-aktiera ID) automātiski tiek anulēti pēc glabāšanas perioda. Pats audita žurnāls paliek — tiek dzēsts tikai PII."
