"View Credit Memo","Преглед на кредитното известие"
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Само добавящ одитен журнал на всички събития от жизнения цикъл на отказите (отчетност по GDPR чл. 5(2)).
                    Личните данни (IP, потребителски агент, идентификатор на клиента) се нулират автоматично след изтичане на срока на съхранение.
                    Самите одитни редове никога не се изтриват — само се анонимизират."
"Order #","Поръчка №"
"Contract","Договор"
"Submitter","Подател"
"Withdrawal submitted","Отказът е подаден"
"Right of Withdrawal — Required Information","Право на отказ — Задължителна информация"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Преди да направите поръчка, моля прегледайте условията, срока и процедурите за упражняване на вашето 14-дневно право на отказ. Тази информация е част от вашия договор."
"Conditions, Time Limit and Procedures for Withdrawal","Условия, срок и процедури за отказ"
"Start Online Return","Започнете онлайн връщане"
"Download Model Withdrawal Form (Annex I(B))","Изтегли образец на формуляр за отказ (Анекс I(Б))"
"Withdrawal Information v%1 — Issued %2","Информация за отказ v%1 — издадено %2"
"You'll receive a prepaid shipping label in the confirmation email.","Ще получите предплатен етикет за доставка в имейла за потвърждение."
"← Back to order search","← Назад към търсене на поръчка"
"← Back to items","← Назад към артикулите"
"Find order","Намери поръчка"
"Enter your order number and email","Въведете номер на поръчка и имейл"
"Select items","Избери артикули"
"Choose items to return (partial withdrawal)","Изберете артикули за връщане (частичен отказ)"
"Review & confirm","Преглед и потвърждение"
"Review your return details and confirm","Прегледайте детайлите за връщане и потвърдете"
"Request submitted","Заявката е изпратена"
"We'll confirm your request by email","Ще потвърдим вашата заявка по имейл"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Изрично давам съгласие за започване на изпълнението на цифровото съдържание преди изтичането на срока за отказ."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Запознат съм, че с даване на това съгласие губя правото си на отказ от момента на започване на изпълнението (чл. 16(м) ДПП)."
"Withdrawals","Откази"
"Minimum %1 characters required.","Изискват се минимум %1 знака."
"Failed to add note.","Неуспешно добавяне на бележка."
"Network error while adding note.","Мрежова грешка при добавяне на бележка."
"Exported Evidence","Експортирано"
"Pending Confirm","Очаква потвърждение"
"Sent","Изпратено"
"Failed Permanent","Трайна неуспешност"
"Failed Retry","Временна неуспешност"
"Eligible","Допустимо"
"Excluded","Изключено"
"Action","Действие"
"From","От"
"To","Към"
"Admin Id","ID на администратор"
"Order Id","ID на поръчка"
"Request Id","ID на заявка"
"Item Count","Брой артикули"
"Rules Fired","Задействани правила"
"Topic","Тема"
"Message Id","ID на съобщение"
"Email To Hash","Хеш на имейла"
"Attempts","Опити"
"Viewed At","Прегледано на"
"Referrer Host","Хост на препращащия"
"Enable \Other\"" with Free Text""","Активиране на „Друго“ със свободен текст"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Незадължителен правен образец — използването му не е задължително; правото на отказ може да се упражни и с всяко еднозначно изявление."
"Right of withdrawal","Право на отказ"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Имате 14 дни от деня, в който получите поръчката си, да се откажете без да посочвате причина — пълно възстановяване по първоначалния ви метод на плащане."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Някои артикули може да са изключени по закон (бързоразвалящи се стоки, артикули по индивидуална поръчка, запечатани хигиенни или аудио/видео продукти). На следващата страница ще ви покажем точно кои подлежат."
"Direct link — no login or account password required.","Директна връзка — не се изискват вход или парола за акаунта."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX, насочен към клиента, за процеса на отказ. Подгрупи: <em>Бутони</em> (надписи с правно значение), <em>Разположения</em> (къде да се покаже връзката), <em>Причини за връщане</em> (падащо меню за всеки артикул), <em>Стъпка за преглед</em> (съдържание на стъпка 3 от процеса)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Деактивирайте само ако доставяте потвърждението на траен носител по различен канал."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Деактивирайте само ако доставяте разписката чрез друг траен носител (поща, изтегляне от клиентския акаунт и т.н.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Празните полета се връщат към базовите стойности от the locale baseline за съответния локал/юрисдикция. Всяка презаписана стойност става част от SHA-256 хеша, който се записва за всяко събитие на съгласие — промяна на поле, след като клиентите вече са дали съгласие, <strong>не</strong> анулира със задна дата предишните съгласия."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Задължително преддоговорно информиране за правото на отказ. Показва се на стъпката за плащане при оформяне на поръчка. Всяко показване се регистрира съдебномедицински (защита по чл. 10). Снимка на изобразения текст се съхранява неизменно (чл. 6(5)). <strong>Препоръчва се правен преглед преди персонализирането на текста на Приложение I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Изкл. = блокът е скрит, но събитията на показване продължават да се записват от страна на сървъра чрез предварително изпращан резерв. Използвайте само за тестване в sandbox. По подразбиране: вкл."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Незадължителни URL адреси, изобразявани като кръгли значки с монограм в долния колонтитул на имейла. Оставете празно, за да скриете."
"Sent when a customer cancels their own pending withdrawal.","Изпраща се, когато клиент анулира собствен висящ отказ."
"Sent when a customer completes the withdrawal form.","Изпраща се, когато клиент попълни формуляра за отказ."
"Sent when an admin approves a withdrawal request.","Изпраща се, когато администратор одобри заявка за отказ."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Изпраща се, когато администратор анулира заявка за отказ от името на клиента."
"Sent when an admin denies a withdrawal request.","Изпраща се, когато администратор отхвърли заявка за отказ."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Тези предварителни настройки изключват определени продуктови категории от 14-дневното право на отказ съгласно чл. 16 ДПП. Всяко правило е ИЗКЛ. по подразбиране — активирайте едва след като проверите, че съответният продуктов атрибут е настроен правилно в каталога ви."
"e.g. ""EU orders above €50""","напр. „Поръчки от ЕС над 50 €“"
"e.g. ""Free delivery""","напр. „Безплатна доставка“"
"Qty: ","Кол.: "
"Submission failed. Please try again.","Изпращането не бе успешно. Моля, опитайте отново."
"Network error. Please try again.","Мрежова грешка. Моля, опитайте отново."
"Invalid server response.","Невалиден отговор от сървъра."
"Admin Notifications","Известия за администратор"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Вътрешни известия за вашия екип. Независими от чекбоксовете <em>BCC до търговеца</em> в <em>Известия за клиенти</em> по-долу — ако активирате и двете, ще получавате по два имейла на заявка."
"1. New Request Alert","1. Известие за нова заявка"
"Sent the moment a customer completes the two-step withdrawal flow.","Изпраща се в момента, в който клиент завърши двустъпковия процес на отказ."
"Recipient Email(s)","Имейл(и) на получателя"
"BCC","BCC"
"New Withdrawal Request","Нова заявка за отказ"
"A new withdrawal request was just submitted.","Току-що беше подадена нова заявка за отказ."
"Request:","Заявка:"
"Order:","Поръчка:"
"Customer:","Клиент:"
"Refund Total:","Обща сума на възстановяване:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Отказ] Нова заявка %request_increment_id · Поръчка #%order_increment_id · %refund_total"
"Anonymised","Анонимизирано"
"Audit","Одит"
"Cancel Order","Откажи поръчката"
"Confirmation Email (Art. 11a(4))","Имейл за потвърждение (чл. 11а(4))"
"Detection (Art. 16(m))","Откриване (чл. 16(м))"
"Digital Waiver (Art. 16(m))","Цифрово отказване (чл. 16(м))"
"Email Identity","Идентичност на изпращача"
"ID","ИД"
"Integrity hash","Хеш за цялост"
"Pre-Contract Proof","Доказателство преди договор"
"Verify this receipt","Проверка на потвърждението"
"Withdrawal Window","Период за отказ"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Този SHA-256 хеш уникално идентифицира вашия запис за отказ. Можете да го проверите по всяко време с бутона по-горе."
"Digital content waiver confirmation — Order %increment_id","Потвърждение на отказ за цифрово съдържание — Поръчка %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Разделени със запетая. Всеки получател получава отделен имейл, изобразен в собствения му административен език (взет от interface_locale на администратора; резервно — general/locale/code). Невалидните адреси се пропускат без съобщение."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Откриване на цифрово съдържание по чл. 16(м) ДЗПС. Определя кое се счита за цифрово съдържание за целите на допустимостта. Самият UI за стъпка на отказ при поръчка и съответният имейл се намират в следващия раздел „Цифрово отказване“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Изключение по чл. 16(м) ДЗПС — цифрово съдържание, при което клиентът (1) изрично е дал съгласие за започване на изпълнението и (2) е приел загубата на правото на отказ. Двата ключа контролират функцията изцяло: подгрупата <em>Откриване</em> в <em>Правила за допустимост</em> решава какво е цифрово (главен ключ); тази секция показва UI с 2 чекбокса при поръчка и изпраща потвърдителен имейл по чл. 11а(4). И двете трябва да са ВКЛЮЧЕНИ. Преводи на текста по локал по-долу. Използвайте само за <strong>еднократни цифрови покупки</strong> (електронни книги, инсталатори, музикални файлове, игри). <strong>Не</strong> включвайте за продължаващи цифрови <strong>абонаменти или услуги</strong> (SaaS, стрийминг, хостинг) — съдебната практика на ЕС (CJEU Sky, C-641/19) изисква различен поток за съгласие."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Определя <strong>кога</strong> започва 14-дневното право на отказ (тригер за доставка, чл. 9(2)(б)) и <strong>колко</strong> дни продължава (чл. 9(2)). Заедно те контролират периода на отказ за всяка поръчка."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","По подразбиране 14 дни по чл. 9(2). Разрешено е удължаване (напр. 30, 100). Намаление под 14 е незаконно — полето валидира само 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Когато е включено, кошниците с открит цифров артикул показват стъпката за отказ с 2 чекбокса на поръчката. Няма ефект, освен ако <em>Правила за допустимост → Откриване → Активиране на откриване на цифрово съдържание</em> също е включено."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","По избор. Разделени със запетая. Изпраща скрито копие на имейла за потвърждение на отказа на одиторски адрес на търговеца. Оставете празно, за да пропуснете."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Правно предупреждение.</strong> Чл. 11а(2) ДЗПС изисква буквалния текст „откажете се от договор тук“ <em>или съответна еднозначна формулировка</em>. Стойността по подразбиране („Откажете се от договор тук“) е дословната фраза от Директивата; Преводите по локал са подписани от юрист. <strong>Не подменяйте, освен ако не сте получили писмен съвет от квалифициран потребителско-правен адвокат в съответната юрисдикция.</strong> Всяка подмяна се записва в одиторския дневник."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Правно предупреждение.</strong> Това е надписът на крайния бутон за потвърждение. По подразбиране („Потвърди отказа“) е подписано от юрист; Преводите по локал са подписани от юрист. Подменяйте само с писмен правен съвет; подмените се записват в одиторския дневник."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Да се откаже свързаната поръчка? Не е извършено плащане, така че няма какво да се възстанови — поръчката ще бъде отказана в Magento."
"Two-stage GDPR data lifecycle. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods and are aged out separately.","Двустъпков GDPR жизнен цикъл на данните. Заявките за отказ съдържат както <em>лични данни</em> (име на клиента, имейл, IP, потребителски агент, бележки на админ, причини за отказ), така и хеш на съдържанието, който е правно доказателство по чл. 11а(4) на <em>траен носител</em>. Двете имат различни задължителни срокове за съхранение и се изчистват отделно."
"How long the <strong>personally identifiable fields</strong> (customer name, email, IP, user agent, denial reason, admin note) are kept before they are nullified by the daily privacy cron. The withdrawal record itself stays — only PII is wiped. Counted from the record's creation date.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Колко дълго се запазват <strong>лично идентифицируемите полета</strong> (име, имейл, IP, потребителски агент, причина за отказ, бележка на администратор), преди да бъдат изчистени от ежедневния cron за поверителност. Самият запис за отказ остава — само PII се изтрива. Брои се от датата на създаване на записа.<br/><br/>
                        <strong>По подразбиране: 730 дни (2 години).</strong> Това е минимумът — чл. 5(1)(д) от GDPR („ограничение за съхранение“), балансиран с давностните срокове за искове по потребителски права в повечето държави на ЕС (1–2 години). Диапазон: 730–3650 дни."
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) is retained. After PII has been wiped, the record keeps only the hash and receipt timestamps until this period expires; then the record is deleted entirely.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Колко дълго се запазва <strong>хешът на съдържанието</strong> (доказателство на траен носител по чл. 11а(4)). След като PII е изтрит, записът съдържа само хеш и часови щампи на потвърждението до изтичането на този период; след това записът се изтрива напълно.<br/><br/>
                        <strong>По подразбиране: 2190 дни (6 години).</strong> Съответства на най-дългото задължение за съхранение на търговски записи в държави членки на ЕС (обикновено 6 години за счетоводство / ДДС). Трябва да бъде ≥ Срок за PII. Диапазон: 2190–3650 дни."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability). Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period. The audit log itself stays — only PII is wiped.","Append-only одиторски дневник на всички събития от жизнения цикъл на отказите (отчетност по чл. 5(2) GDPR). Личните данни (IP, потребителски агент, ID на клиента-актьор) автоматично се нулират след срока за съхранение. Самият одиторски дневник остава — изтриват се само PII."
