"View Credit Memo","Pregled odobrenja"
"Request submitted","Zahtjev poslan"
"We'll confirm your request by email","Vaš zahtjev potvrdit ćemo e-mailom"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Izričito pristajem na početak izvršavanja digitalnog sadržaja prije isteka roka za jednostrani raskid."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Svjestan sam da ovim pristankom gubim pravo na jednostrani raskid ugovora od trenutka početka izvršavanja (čl. 16. t. m) Direktive 2011/83/EU)."
"Withdrawals","Jednostrani raskidi"
"Minimum %1 characters required.","Potrebno je najmanje %1 znakova."
"Failed to add note.","Dodavanje bilješke nije uspjelo."
"Network error while adding note.","Mrežna pogreška pri dodavanju bilješke."
"Exported Evidence","Izvezeno"
"Pending Confirm","Čeka potvrdu"
"Sent","Poslano"
"Failed Permanent","Trajni neuspjeh"
"Failed Retry","Privremeni neuspjeh"
"Eligible","Prihvatljivo"
"Excluded","Isključeno"
"Action","Akcija"
"From","Iz"
"To","Prema"
"Admin Id","Admin ID"
"Order Id","ID narudžbe"
"Request Id","ID zahtjeva"
"Item Count","Broj artikala"
"Rules Fired","Primijenjena pravila"
"Topic","Tema"
"Message Id","ID poruke"
"Email To Hash","Hash e-pošte"
"Attempts","Pokušaji"
"Viewed At","Pregledano"
"Referrer Host","Upućujući poslužitelj"
"Enable \Other\"" with Free Text""","Omogući „Ostalo“ sa slobodnim tekstom"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Neobavezan pravni predložak — njegova upotreba nije obavezna; pravo na odustanak možete ostvariti i bilo kojom jednoznačnom izjavom."
"Right of withdrawal","Pravo na odustajanje"
"You have %1 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Od dana primitka narudžbe imate %1 dana za odustajanje bez navođenja razloga — puni povrat na izvornu metodu plaćanja."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Neke stavke mogu biti zakonski isključene (pokvarljiva roba, roba izrađena po narudžbi, zapečaćena higijenska ili audio/video roba). Na sljedećoj stranici prikazat ćemo točno što je prihvatljivo."
"Direct link — no login or account password required.","Izravna poveznica — nije potrebna prijava ni lozinka računa."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX prema kupcu za tok odustajanja. Podgrupe: <em>Gumbi</em> (oznake s pravnom važnošću), <em>Položaji</em> (gdje prikazati poveznicu), <em>Razlozi za povrat</em> (padajući izbornik po stavci), <em>Korak pregleda</em> (sadržaj na 3. koraku toka)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Onemogućite samo ako potvrdu na trajnom mediju dostavljate drugim kanalom."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Onemogućite samo ako potvrdu dostavljate drugim trajnim medijem (poštom, preuzimanjem putem korisničkog računa itd.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Prazna polja vraćaju se na baznu vrijednost iz the locale baseline za određenu lokalu/jurisdikciju. Svaka nadjačana vrijednost postaje dio SHA-256 hash-a pohranjenog uz svaki događaj pristanka — promjena polja nakon što su kupci dali pristanak <strong>ne</strong> poništava prethodne pristanke s povratnim učinkom."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obvezna predugovorna informacija o pravu na odustajanje. Prikazuje se u koraku plaćanja pri naplati. Svaki prikaz forenzički se bilježi (obrana iz čl. 10). Snimka prikazanog teksta pohranjuje se nepromjenjivo (čl. 6. st. 5.). <strong>Prije bilo kakve prilagodbe teksta Priloga I. preporučuje se pravna provjera.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Isključeno = blok je skriven, ali se događaji prikaza i dalje bilježe na strani poslužitelja putem predispatch fallbacka. Koristite samo za sandbox testiranje. Zadano: uključeno."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Neobavezne URL adrese prikazane kao okrugle monogramske oznake u podnožju e-pošte. Ostavite prazno za skrivanje."
"Sent when a customer cancels their own pending withdrawal.","Šalje se kada kupac otkaže vlastito odustajanje koje je u tijeku."
"Sent when a customer completes the withdrawal form.","Šalje se kada kupac ispuni obrazac za odustajanje."
"Sent when an admin approves a withdrawal request.","Šalje se kada administrator odobri zahtjev za odustajanje."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Šalje se kada administrator otkaže zahtjev za odustajanje u ime kupca."
"Sent when an admin denies a withdrawal request.","Šalje se kada administrator odbije zahtjev za odustajanje."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Ovi unaprijed postavljeni profili izuzimaju određene kategorije proizvoda iz 14-dnevnog prava na odustajanje prema čl. 16. Direktive o pravima potrošača. Svako je pravilo prema zadanim postavkama ISKLJUČENO — uključite ga tek nakon što potvrdite da je odgovarajuće svojstvo proizvoda ispravno postavljeno u vašem katalogu."
"e.g. ""EU orders above €50""","npr. „Narudžbe iz EU iznad 50 €“"
"e.g. ""Free delivery""","npr. „Besplatna dostava“"
"Qty: ","Kol.: "
"Submission failed. Please try again.","Slanje nije uspjelo. Pokušajte ponovo."
"Network error. Please try again.","Mrežna greška. Pokušajte ponovo."
"Invalid server response.","Nevažeći odgovor poslužitelja."
"Admin Notifications","Obavijesti za administratora"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interne obavijesti vašem timu. Neovisne o potvrdnim okvirima <em>BCC trgovcu</em> u odjeljku <em>Obavijesti za kupce</em> ispod — ako uključite oba, primit ćete dva e-maila po zahtjevu."
"1. New Request Alert","1. Obavijest o novom zahtjevu"
"Sent the moment a customer completes the two-step withdrawal flow.","Šalje se u trenutku kad kupac dovrši postupak odustajanja u dva koraka."
"Recipient Email(s)","E-pošta primatelja"
"BCC","Skrivena kopija"
"New Withdrawal Request","Novi zahtjev za odustajanje"
"A new withdrawal request was just submitted.","Upravo je predan novi zahtjev za odustajanje."
"Request:","Zahtjev:"
"Order:","Narudžba:"
"Customer:","Kupac:"
"Refund Total:","Ukupan povrat:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Odustajanje] Novi zahtjev %request_increment_id · Narudžba #%order_increment_id · %refund_total"
"Anonymised","Anonimizirano"
"Audit","Revizija"
"Cancel Order","Otkaži narudžbu"
"Confirmation Email (Art. 11a(4))","E-pošta potvrde (čl. 11a(4))"
"Detection (Art. 16(m))","Otkrivanje (čl. 16(m))"
"Digital Waiver (Art. 16(m))","Digitalno odricanje (čl. 16(m))"
"Email Identity","Identitet pošiljatelja"
"ID","ID"
"Integrity hash","Hash integriteta"
"Pre-Contract Proof","Predugovorni dokaz"
"Verify this receipt","Provjeri ovu potvrdu"
"Withdrawal Window","Rok za odustajanje"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ovaj SHA-256 hash jednoznačno identificira vašu evidenciju odustajanja. Možete ga provjeriti u bilo kojem trenutku gornjim gumbom."
"Digital content waiver confirmation — Order %increment_id","Potvrda odricanja od digitalnog sadržaja — Narudžba %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Odvojeno zarezima. Svaki primatelj prima zaseban e-mail prikazan na vlastitom administrativnom jeziku (kroz interface_locale administratora; pričuva — general/locale/code). Nevažeće adrese tiho se odbacuju."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Otkrivanje digitalnog sadržaja prema čl. 16(m) Direktive o pravima potrošača. Određuje što se računa kao digitalni sadržaj za potrebe pravo na odustajanje. Stvarno UI odricanja na blagajni i e-pošta nalaze se u sljedećem odjeljku „Digitalno odricanje“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Izuzeće prema čl. 16(m) Direktive o pravima potrošača — digitalni sadržaj kod kojeg je kupac (1) dao izričitu prethodnu suglasnost za početak izvršenja i (2) potvrdio gubitak prava na odustajanje. Dva prekidača kontroliraju značajku: podgrupa <em>Otkrivanje</em> u <em>Pravilima prihvatljivosti</em> odlučuje što je digitalno (glavni prekidač); ova sekcija prikazuje UI s 2 potvrdna okvira na blagajni i šalje potvrdni e-mail prema čl. 11a(4). Oba moraju biti UKLJUČENA. Prijevodi teksta po jeziku ispod. Koristite samo za <strong>jednokratne digitalne kupnje</strong> (e-knjige, instalacijski paketi, glazbene datoteke, igre). <strong>Nemojte</strong> aktivirati za kontinuirane digitalne <strong>pretplate ili usluge</strong> (SaaS, streaming, hostani softver) — sudska praksa EU-a (CJEU Sky, C-641/19) zahtijeva drugi postupak suglasnosti."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definira <strong>kada</strong> započinje 14-dnevno pravo na odustajanje (okidač isporuke, čl. 9(2)(b)) i <strong>koliko</strong> dana traje (čl. 9(2)). Zajedno kontroliraju razdoblje u kojem je odustajanje od svake narudžbe otvoreno."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Zadana vrijednost 14 dana prema čl. 9(2). Produljenje dopušteno (npr. 30, 100). Smanjenje ispod 14 je nezakonito — polje validira samo 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Kad je uključeno, košarice s otkrivenom digitalnom stavkom prikazuju korak odricanja s 2 potvrdna okvira na blagajni. Nema učinka osim ako je također uključeno <em>Pravila prihvatljivosti → Otkrivanje → Omogući otkrivanje digitalnog sadržaja</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neobavezno. Odvojeno zarezima. Šalje skrivenu kopiju e-pošte potvrde odricanja na trgovčevu adresu za reviziju. Ostavite prazno za preskakanje."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Pravno upozorenje.</strong> Čl. 11a(2) Direktive o pravima potrošača zahtijeva doslovan tekst „odustanite od ugovora ovdje“ <em>ili odgovarajuću nedvosmislenu formulaciju</em>. Zadana vrijednost („Odustanite od ugovora ovdje“) je doslovni izraz Direktive; Prijevodi po jeziku potpisani su od strane pravnika. <strong>Nemojte mijenjati osim ako niste dobili pisani savjet od kvalificiranog odvjetnika za pravo zaštite potrošača u ciljanoj jurisdikciji.</strong> Svaka promjena evidentirana je u dnevniku revizije."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Pravno upozorenje.</strong> Ovo je oznaka konačnog gumba potvrde. Zadana vrijednost („Potvrdi odustajanje“) potpisana je od strane pravnika; Prijevodi po jeziku potpisani su od strane pravnika. Mijenjajte samo uz pisani pravni savjet; promjene se evidentiraju u dnevniku revizije."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Otkazati povezanu narudžbu? Nije zabilježeno plaćanje, pa nema što vratiti — narudžba će biti otkazana u Magentu."
"Scope & Applicability","Opseg i primjenjivost"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Određuje na kojim se tržištima nudi samoposlužni postupak odustajanja. To su poslovne odluke trgovca, a ne pravna izuzeća — zakonsko pravo potrošača iz EU-a na odustajanje ne ovisi o njima, a odustajanja zaprimljena drugim putem (e-poštom, pismom) i dalje se moraju ručno uvažiti."
"Restrict by Country","Ograniči po državi"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Nudi samoposlužni postupak odustajanja samo za narudžbe čija je adresa za naplaćivanje <strong>ili</strong> dostavu u odabranim državama. <strong>Pravna napomena:</strong> ovo ograničava samo postupak u trgovini — zakonsko pravo potrošača iz EU-a na odustajanje ne ovisi o adresi, a odustajanja zaprimljena drugim putem (e-poštom, pismom) i dalje se moraju ručno uvažiti. Zadano: isključeno."
"Offer Withdrawal For Countries","Ponudi odustajanje za države"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Unaprijed odabrano: EU-27 plus EGP (Norveška, Island, Lihtenštajn). Ručno dodajte Ujedinjeno Kraljevstvo ako ciljate potrošače iz Ujedinjenog Kraljevstva (zaseban nacionalni režim s usporedivim 14-dnevnim pravom). Ako ispraznite ovaj popis, ograničenje nema učinka i postupak ostaje dostupan svim kupcima."
"Restrict by Customer Group","Ograniči prema grupi kupaca"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Isključi grupe kupaca"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Izrađeno prema vašim specifikacijama"
"Perishable goods","Lako pokvarljiva roba"
"Sealed hygiene item — seal broken","Zapečaćeni higijenski proizvod — pečat je slomljen"
"Sealed audio/video — seal broken","Zapečaćeni audio/video — pečat je slomljen"
"Newspapers, periodicals, magazines","Novine, periodika, časopisi"
"Accommodation / event on specific date","Smještaj / događaj na određeni datum"
"Digital content — right waived at purchase","Digitalni sadržaj — odricanje od prava pri kupnji"
"Withdrawal period has expired","Rok za jednostrani raskid je istekao"
"Already withdrawn in a prior request","Već raskinuto u prethodnom zahtjevu"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Ovu stavku zadržava skica odustajanja. Potvrdite je putem e-pošte koju smo poslali ili je otkažite u odjeljku „Postojeća odustajanja“ iznad."
"EU withdrawal request %1 was approved.","Zahtjev za odustajanje EU %1 odobren je."
"EU withdrawal request %1 was approved. Refund: %2.","Zahtjev za odustajanje EU %1 odobren je. Povrat: %2."
"EU withdrawal request %1 was denied.","Zahtjev za odustajanje EU %1 odbijen je."
"EU withdrawal request %1 was denied. Reason: %2","Zahtjev za odustajanje EU %1 odbijen je. Razlog: %2"
"EU withdrawal request %1 was cancelled by the customer.","Zahtjev za odustajanje EU %1 otkazao je kupac."
"EU withdrawal request %1 was cancelled by an administrator.","Zahtjev za odustajanje EU %1 otkazao je administrator."
"If Delivery Is Never Confirmed","Ako dostava nikada nije potvrđena"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Kada narudžba već ima status potvrde dostave, ali nema zabilježenog prijelaza u njega (bez datuma dostave), odaberite ostaje li odustajanje otvoreno ili se tretira kao neprihvatljivo. Zadano: neprihvatljivo."
"Statuses Excluded From Withdrawal","Statusi isključeni iz odustajanja"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Narudžbe čiji je trenutni status ovdje odabran nikada se ne nude za odustajanje (npr. migracijski status poput <code>imported</code>). Nemojte odabrati status koji koriste aktivne, isporučive narudžbe — time biste odbili valjano odustajanje."
"Treat as not eligible","Tretiraj kao neprihvatljivo"
"Keep withdrawal open","Ostavi odustajanje otvorenim"
"Withdrawal not available for this order","Odustajanje nije dostupno za ovu narudžbu"
"This order is not eligible for withdrawal.","Ova narudžba nije prihvatljiva za odustajanje."
"EU withdrawal request %1 submitted.","Zahtjev za odustajanje EU %1 poslan je."
"EU withdrawal request %1 submitted. Requested refund: %2.","Zahtjev za odustajanje EU %1 poslan je. Zatraženi povrat: %2."
"Show more orders","Prikaži više narudžbi"
"Item Selection","Odabir artikala"
"Per item (customer selects items and quantities)","Po artiklu (kupac odabire artikle i količine)"
"Full order (all returnable items, no selection)","Cijela narudžba (svi artikli koji se mogu vratiti, bez odabira)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Po artiklu</em>: kupac odabire stavke i količine. <em>Cijela narudžba</em>: zahtjev uvijek obuhvaća sve artikle koji se mogu vratiti; artikli isključeni zakonom (otvoreni pečat, istekao rok) i dalje se automatski uklanjaju, a obrazac prikazuje napomenu da se djelomični povrati mogu zatražiti putem vaše kontakt stranice.<br/><strong>⚠ Pravno upozorenje.</strong> Obrazloženja uz njemački provedbeni zakon očekuju da funkcija odustajanja od ugovora podržava odabir dijelova narudžbe. Posavjetujte se sa svojim pravnim savjetnikom prije prelaska na opciju Cijela narudžba."
"This request covers all returnable items of the order.","Ovaj zahtjev obuhvaća sve artikle narudžbe koji se mogu vratiti."
"Contact us for a partial return.","Kontaktirajte nas za djelomični povrat."
"Review the items included in your return.","Pregledajte artikle uključene u vaš povrat."
"Review the items to return","Pregledajte artikle za povrat"
"Self-service withdrawal is not available for this order.","Samostalno odustajanje od ugovora nije dostupno za ovu narudžbu."
"VAT","PDV"
"Of which VAT","Od čega PDV"
"Order Adjustment","Usklađenje narudžbe"
"Bundle Item Selection","Odabir stavki paketa"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Ne</em> (zadano): paket se prikazuje kao jedinstvena cjelina za povrat — kupac vraća cijeli paket. <em>Da</em>: komponente paketa s vlastitom cijenom prikazuju se kao zasebne stavke za povrat kada se mogu vratiti neovisno jedna o drugoj (npr. uređaj i dodatak koji se prodaju zajedno). Uključite ovo samo za pakete koji objedinjuju proizvode koji se mogu vratiti neovisno; paket koji se prodaje kao jedinstveni komplet trebao bi ostati mogućim za povrat samo kao cjelina.<br/><strong>Pravna napomena.</strong> Postavite ovo prema tome kako se svaki paket nudi i ugovara; posavjetujte se sa svojim pravnim savjetnikom ako bi se od pojedinih komponenti trebalo moći odustati zasebno."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Potvrda gubitka prava na odustajanje (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Obje su potvrde potrebne za nastavak. Vaš se pristanak bilježi s hash-om pravnog teksta prikazanog iznad, otpornim na neovlaštene izmjene."
"Digital Content Delivery — Required Waiver","Isporuka digitalnog sadržaja — obavezno odricanje"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Izričit pristanak (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Potvrđujem da ću zbog toga izgubiti pravo na odustajanje nakon što izvedba započne."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Izričito zahtijevam da izvedba digitalnog sadržaja započne odmah, prije isteka 14-dnevnog roka za odustajanje."
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","Korak pristanka za digitalni sadržaj privremeno je nedostupan. Osvježite stranicu; ako se problem nastavi, obratite se podršci — vaša se narudžba ne može dovršiti dok se ne može prikazati potrebni pristanak."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Vaša košarica sadrži digitalni sadržaj. Da biste ga primili odmah, potrošačko pravo EU-a zahtijeva i vaš izričit pristanak na početak izvedbe i vašu potvrdu da time gubite pravo na odustajanje čim isporuka započne."
SKU:,SKU:
"Seal photos skipped","Fotografije pečata preskočene"
Submitting…,Slanje…
"That order does not belong to your account. Please select one of your own orders.","Ta narudžba ne pripada vašem računu. Odaberite jednu od svojih narudžbi."
