"View Credit Memo","Ver abono"
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX para el cliente en el flujo de desistimiento. Subgrupos: <em>Botones</em> (etiquetas con relevancia jurídica), <em>Ubicaciones</em> (dónde mostrar el enlace), <em>Motivos de devolución</em> (desplegable por artículo), <em>Paso de revisión</em> (contenido del paso 3 del flujo)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Desactive solo si entrega la confirmación en soporte duradero por otro canal."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Desactive solo si entrega el recibo por otro soporte duradero (correo postal, descarga en la cuenta del cliente, etc.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Los campos vacíos recurren a la línea base en the locale baseline para la configuración regional/jurisdicción. Cualquier valor de sustitución forma parte del hash SHA-256 almacenado por cada evento de consentimiento; cambiar un campo después de que los clientes hayan consentido <strong>no</strong> invalida retroactivamente los consentimientos anteriores."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Información precontractual obligatoria del derecho de desistimiento. Se muestra en el paso de pago del checkout. Cada visualización se registra forensicamente (defensa según el art. 10). Una instantánea del texto renderizado se almacena de forma inmutable (art. 6.5). <strong>Se recomienda revisión jurídica antes de personalizar cualquier texto del Anexo I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Desactivado = bloque oculto, pero los eventos de visualización siguen registrándose en el servidor mediante el respaldo predispatch. Use solo para pruebas en sandbox. Predeterminado: activado."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","URLs opcionales mostradas como insignias circulares de monograma en el pie del correo. Deje en blanco para ocultar."
"Sent when a customer cancels their own pending withdrawal.","Se envía cuando un cliente cancela su propio desistimiento pendiente."
"Sent when a customer completes the withdrawal form.","Se envía cuando un cliente completa el formulario de desistimiento."
"Sent when an admin approves a withdrawal request.","Se envía cuando un administrador aprueba una solicitud de desistimiento."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Se envía cuando un administrador cancela una solicitud de desistimiento en nombre del cliente."
"Sent when an admin denies a withdrawal request.","Se envía cuando un administrador deniega una solicitud de desistimiento."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Estos preajustes excluyen determinadas categorías de productos del derecho de desistimiento de 14 días, conforme al art. 16 CRD. Cada regla está DESACTIVADA por defecto — actívela solo tras confirmar que el atributo de producto correspondiente está configurado correctamente en su catálogo."
"e.g. ""EU orders above €50""","p. ej. «Pedidos UE superiores a 50 €»"
"e.g. ""Free delivery""","p. ej. «Envío gratuito»"
"Qty: ","Cant.: "
"Submission failed. Please try again.","El envío falló. Por favor, inténtelo de nuevo."
"Network error. Please try again.","Error de red. Por favor, inténtelo de nuevo."
"Invalid server response.","Respuesta del servidor no válida."
"Admin Notifications","Notificaciones del administrador"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Avisos internos para tu equipo. Independientes de las casillas <em>BCC al comerciante</em> en <em>Notificaciones del cliente</em> a continuación — si activas ambas, recibirás dos correos por solicitud."
"1. New Request Alert","1. Aviso de nueva solicitud"
"Sent the moment a customer completes the two-step withdrawal flow.","Se envía en el momento en que un cliente completa el flujo de desistimiento en dos pasos."
"Recipient Email(s)","Correo(s) del destinatario"
"BCC","CCO"
"New Withdrawal Request","Nueva solicitud de desistimiento"
"A new withdrawal request was just submitted.","Se acaba de enviar una nueva solicitud de desistimiento."
"Request:","Solicitud:"
"Order:","Pedido:"
"Customer:","Cliente:"
"Refund Total:","Reembolso total:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Desistimiento] Nueva solicitud %request_increment_id · Pedido #%order_increment_id · %refund_total"
"Anonymised","Anonimizado"
"Audit","Auditoría"
"Cancel Order","Cancelar pedido"
"Confirmation Email (Art. 11a(4))","Correo de confirmación (Art. 11a(4))"
"Detection (Art. 16(m))","Detección (Art. 16(m))"
"Digital Waiver (Art. 16(m))","Renuncia digital (Art. 16(m))"
"Email Identity","Identidad del remitente"
"ID","ID"
"Integrity hash","Hash de integridad"
"Pre-Contract Proof","Prueba precontractual"
"Verify this receipt","Verificar este recibo"
"Withdrawal Window","Plazo de desistimiento"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Este hash SHA-256 identifica de forma única tu registro de desistimiento. Puedes verificarlo en cualquier momento con el botón de arriba."
"Digital content waiver confirmation — Order %increment_id","Confirmación de renuncia a contenido digital — Pedido %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Separados por comas. Cada destinatario recibe un correo separado renderizado en su propia configuración regional de administrador (resuelto vía interface_locale del usuario administrador; respaldo — general/locale/code). Las direcciones no válidas se descartan silenciosamente."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Detección de contenido digital según Art. 16(m) DDC. Determina qué cuenta como contenido digital para la elegibilidad. La interfaz de renuncia en el checkout y el correo están en la siguiente sección «Renuncia digital»."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Exclusión Art. 16(m) DDC — contenido digital donde el cliente (1) ha dado consentimiento expreso previo para iniciar la prestación y (2) ha reconocido la pérdida del derecho de desistimiento. Dos interruptores controlan la función: el subgrupo <em>Detección</em> en <em>Reglas de elegibilidad</em> decide qué es digital (interruptor maestro); esta sección renderiza la UI con 2 casillas en el checkout y envía el correo de confirmación del Art. 11a(4). Ambos deben estar ACTIVADOS. Anulaciones de texto por idioma abajo. Úsalo solo para <strong>compras digitales únicas</strong> (libros electrónicos, instaladores, archivos musicales, juegos). <strong>No</strong> lo actives para <strong>suscripciones o servicios</strong> digitales continuos (SaaS, streaming, software alojado) — la jurisprudencia europea (CJEU Sky, C-641/19) exige otro flujo de consentimiento."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Define <strong>cuándo</strong> comienza el plazo de 14 días de desistimiento (disparador de entrega, Art. 9(2)(b)) y <strong>cuánto</strong> dura en días (Art. 9(2)). Juntos controlan el periodo en el que cada pedido está abierto al desistimiento."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Valor predeterminado de 14 días según Art. 9(2). Se permite ampliación (por ejemplo, 30, 100). La reducción por debajo de 14 es ilegal — el campo solo valida 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Cuando está activado, los carritos con un artículo digital detectado renderizan el paso de renuncia de 2 casillas en el checkout. No tiene efecto a menos que <em>Reglas de elegibilidad → Detección → Activar detección de contenido digital</em> también esté activado."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcional. Separado por comas. Envía una copia oculta del correo de confirmación de renuncia a una dirección de auditoría del comerciante. Deja en blanco para omitir."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Advertencia legal.</strong> El Art. 11a(2) DDC exige el texto literal «desistir del contrato aquí» <em>o una formulación equivalentemente inequívoca</em>. El valor predeterminado («Desistir del contrato aquí») es la frase literal de la Directiva; Las traducciones por idioma están firmadas por asesor jurídico. <strong>No anules a menos que hayas recibido asesoramiento escrito de un abogado de derecho del consumo cualificado en la jurisdicción correspondiente.</strong> Cada anulación se registra en el log de auditoría."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Advertencia legal.</strong> Es la etiqueta del botón de confirmación final. El valor por defecto («Confirmar desistimiento») está firmado por asesor jurídico; Las traducciones por idioma están firmadas por asesor jurídico. Anula solo con asesoramiento legal por escrito; las anulaciones se registran en el log de auditoría."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","¿Cancelar el pedido vinculado? No se ha capturado ningún pago, por lo que no hay nada que reembolsar — el pedido se cancelará en Magento."
"Scope & Applicability","Alcance y aplicabilidad"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Controla en qué mercados se ofrece el flujo de desistimiento de autoservicio. Son decisiones comerciales del comerciante, no exclusiones legales — el derecho de desistimiento legal de un consumidor de la UE no depende de ellas, y los desistimientos recibidos por otros medios (correo electrónico, carta) deben atenderse igualmente de forma manual."
"Restrict by Country","Restringir por país"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Ofrece el flujo de desistimiento de autoservicio solo para los pedidos cuya dirección de facturación <strong>o</strong> de envío se encuentre en los países seleccionados. <strong>Nota legal:</strong> esto restringe únicamente el flujo en la tienda — el derecho de desistimiento legal de un consumidor de la UE no depende de la dirección, y los desistimientos recibidos por otros medios (correo electrónico, carta) deben atenderse igualmente de forma manual. Predeterminado: desactivado."
"Offer Withdrawal For Countries","Ofrecer desistimiento para los países"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Preseleccionados: UE-27 más EEE (Noruega, Islandia, Liechtenstein). Añada el Reino Unido manualmente si se dirige a consumidores del Reino Unido (régimen nacional independiente con un derecho de 14 días comparable). Si vacía esta lista, la restricción no surte efecto y el proceso permanece disponible para todos los clientes."
"Custom-made to your specifications","Fabricado según sus especificaciones"
"Perishable goods","Bienes perecederos"
"Sealed hygiene item — seal broken","Artículo de higiene precintado — precinto roto"
"Sealed audio/video — seal broken","Audio/vídeo precintado — precinto roto"
"Newspapers, periodicals, magazines","Periódicos, publicaciones periódicas, revistas"
"Accommodation / event on specific date","Alojamiento / evento en una fecha determinada"
"Digital content — right waived at purchase","Contenido digital — derecho renunciado en la compra"
"Withdrawal period has expired","El plazo de desistimiento ha expirado"
"Already withdrawn in a prior request","Ya desistido en una solicitud anterior"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Un borrador de desistimiento retiene este artículo. Confírmelo mediante el correo electrónico que le enviamos o cancélelo en la sección «Desistimientos existentes» de arriba."
