"View Credit Memo","Vezi nota de credit"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Aveți la dispoziție 14 zile de la primirea comenzii pentru a vă retrage fără a fi nevoie să motivați — rambursare integrală către metoda dvs. inițială de plată."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Anumite articole pot fi excluse prin lege (bunuri perisabile, articole realizate la comandă, produse de igienă sau audio/video sigilate). Vă vom arăta exact ce este eligibil pe pagina următoare."
"Direct link — no login or account password required.","Link direct — nu este necesară autentificarea sau o parolă de cont."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX orientat către client pentru fluxul de retragere. Subgrupuri: <em>Butoane</em> (etichete cu importanță juridică), <em>Plasări</em> (unde se afișează linkul), <em>Motive de retur</em> (listă derulantă per articol), <em>Pas de revizuire</em> (conținut la pasul 3 al fluxului)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Dezactivați doar dacă livrați confirmarea pe suport durabil printr-un alt canal."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Dezactivați doar dacă livrați confirmarea pe un alt suport durabil (poștă, descărcare din contul clientului etc.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Câmpurile goale revin la valoarea de bază din the locale baseline pentru localizarea/jurisdicția respectivă. Orice valoare de suprascriere devine parte din hash-ul SHA-256 stocat pentru fiecare eveniment de consimțământ — modificarea unui câmp după ce clienții au consimțit <strong>nu</strong> invalidează retroactiv consimțămintele anterioare."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Informare precontractuală obligatorie privind dreptul de retragere. Afișată la pasul de plată din finalizarea comenzii. Fiecare afișare este înregistrată în vederea probei (apărare conform art. 10). Un snapshot al textului randat este stocat imutabil (art. 6 alin. (5)). <strong>Se recomandă revizuire juridică înainte de a personaliza orice text din Anexa I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Dezactivat = blocul este ascuns, dar evenimentele de afișare sunt în continuare înregistrate pe partea de server prin mecanismul de rezervă predispatch. A se folosi doar pentru testare în sandbox. Implicit: activat."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","URL-uri opționale afișate ca insigne rotunde cu monogramă în subsolul e-mailului. Lăsați necompletat pentru a ascunde."
"Sent when a customer cancels their own pending withdrawal.","Trimis când un client anulează propria retragere în așteptare."
"Sent when a customer completes the withdrawal form.","Trimis când un client completează formularul de retragere."
"Sent when an admin approves a withdrawal request.","Trimis când un administrator aprobă o cerere de retragere."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Trimis când un administrator anulează o cerere de retragere în numele clientului."
"Sent when an admin denies a withdrawal request.","Trimis când un administrator respinge o cerere de retragere."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Aceste presetări exclud anumite categorii de produse din dreptul de retragere de 14 zile, conform art. 16 din Directiva 2011/83/UE. Fiecare regulă este DEZACTIVATĂ în mod implicit — activați-o doar după ce confirmați că atributul de produs corespunzător este setat corect în catalog."
"e.g. ""EU orders above €50""","de ex. „Comenzi UE peste 50 €”"
"e.g. ""Free delivery""","de ex. „Livrare gratuită”"
"Qty: ","Cant.: "
"Submission failed. Please try again.","Trimiterea a eșuat. Vă rugăm să încercați din nou."
"Network error. Please try again.","Eroare de rețea. Vă rugăm să încercați din nou."
"Invalid server response.","Răspuns invalid de la server."
"Admin Notifications","Notificări administrator"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Alerte interne pentru echipa dvs. Independente de casetele <em>BCC la comerciant</em> din <em>Notificări către client</em> de mai jos — dacă activați ambele, veți primi două e-mailuri per solicitare."
"1. New Request Alert","1. Alertă de solicitare nouă"
"Sent the moment a customer completes the two-step withdrawal flow.","Trimis în momentul în care un client finalizează fluxul de retragere în doi pași."
"Recipient Email(s)","E-mail(uri) destinatar"
"BCC","BCC"
"New Withdrawal Request","Solicitare nouă de retragere"
"A new withdrawal request was just submitted.","Tocmai a fost trimisă o nouă solicitare de retragere."
"Request:","Solicitare:"
"Order:","Comandă:"
"Customer:","Client:"
"Refund Total:","Total rambursare:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Retragere] Solicitare nouă %request_increment_id · Comandă #%order_increment_id · %refund_total"
"Anonymised","Anonimizat"
"Audit","Audit"
"Cancel Order","Anulează comanda"
"Confirmation Email (Art. 11a(4))","E-mail de confirmare (Art. 11a(4))"
"Detection (Art. 16(m))","Detectare (Art. 16(m))"
"Digital Waiver (Art. 16(m))","Renunțare digitală (Art. 16(m))"
"Email Identity","Identitatea expeditorului"
"ID","ID"
"Integrity hash","Hash de integritate"
"Pre-Contract Proof","Dovadă precontractuală"
"Verify this receipt","Verifică această chitanță"
"Withdrawal Window","Termen de retragere"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Acest hash SHA-256 identifică în mod unic înregistrarea dvs. de retragere. Îl puteți verifica oricând folosind butonul de mai sus."
"Digital content waiver confirmation — Order %increment_id","Confirmare de renunțare la conținut digital — Comandă %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Separate prin virgulă. Fiecare destinatar primește un e-mail separat redat în propria locală de administrare (căutată prin interface_locale al utilizatorului admin; rezervă — general/locale/code). Adresele nevalide sunt eliminate fără notificare."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Detectarea conținutului digital conform Art. 16(m) DDC. Determină ce contează drept conținut digital în scop de eligibilitate. Interfața efectivă de renunțare la finalizare și e-mailul se află în secțiunea următoare „Renunțare digitală“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Excepție Art. 16(m) DDC — conținut digital în care clientul (1) și-a dat consimțământul expres prealabil pentru începerea executării și (2) a recunoscut pierderea dreptului de retragere. Două comutatoare controlează funcția: subgrupul <em>Detectare</em> din <em>Reguli de eligibilitate</em> decide ce contează ca digital (comutator principal); această secțiune randează UI de renunțare cu 2 casete de bifare la finalizare și trimite e-mailul de confirmare conform Art. 11a(4). Ambele trebuie să fie ACTIVATE. Suprascrierile de text per limbă mai jos. Folosiți doar pentru <strong>achiziții digitale unice</strong> (e-cărți, instalatoare, fișiere muzicale, jocuri). <strong>Nu</strong> activați pentru <strong>abonamente sau servicii</strong> digitale continue (SaaS, streaming, software găzduit) — jurisprudența UE (CJEU Sky, C-641/19) cere un alt flux de consimțământ."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definește <strong>când</strong> începe dreptul de retragere de 14 zile (declanșatorul livrării, Art. 9(2)(b)) și <strong>cât</strong> durează în zile (Art. 9(2)). Împreună, acestea controlează perioada în care retragerea fiecărei comenzi este deschisă."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Implicit 14 zile conform Art. 9(2). Extensia este permisă (de ex., 30, 100). Reducerea sub 14 este ilegală — câmpul validează doar 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Când este activat, coșurile care conțin un articol digital detectat afișează pasul de renunțare cu 2 casete de bifare la finalizare. Nu are efect dacă nu este activat și <em>Reguli de eligibilitate → Detectare → Activează detectarea conținutului digital</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opțional. Separate prin virgulă. Trimite o copie ascunsă a e-mailului de confirmare a renunțării către o adresă de audit a comerciantului. Lăsați necompletat pentru a omite."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Avertisment juridic.</strong> Art. 11a(2) DDC cere textul literal „retragerea din contract aici” <em>sau o formulare echivalentă neambiguă</em>. Valoarea implicită („Retragerea din contract aici”) este fraza literală a Directivei; Traducerile per limbă sunt semnate de avocat. <strong>Nu suprascrieți decât dacă ați primit consiliere scrisă de la un avocat calificat în drept al consumatorilor în jurisdicția vizată.</strong> Fiecare suprascriere este înregistrată în jurnalul de audit."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Avertisment juridic.</strong> Aceasta este eticheta butonului final de confirmare. Valoarea implicită („Confirmă retragerea”) este semnată de avocat; Traducerile per limbă sunt semnate de avocat. Suprascrieți doar cu consiliere juridică scrisă; suprascrierile sunt înregistrate în jurnalul de audit."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Anulați comanda asociată? Nu a fost capturată nicio plată, așa că nu există nimic de rambursat — comanda va fi anulată în Magento."
"Scope & Applicability","Domeniu și aplicabilitate"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Controlează în ce piețe este oferit fluxul de retragere cu autoservire. Acestea sunt decizii comerciale ale comerciantului, nu excluderi legale — dreptul legal de retragere al unui consumator din UE nu depinde de ele, iar retragerile primite prin alte mijloace (e-mail, scrisoare) trebuie totuși onorate manual."
"Restrict by Country","Restricționează după țară"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Oferă fluxul de retragere cu autoservire doar pentru comenzile a căror adresă de facturare <strong>sau</strong> de livrare se află în țările selectate. <strong>Notă juridică:</strong> aceasta restricționează doar fluxul din magazin — dreptul legal de retragere al unui consumator din UE nu depinde de adresă, iar retragerile primite prin alte mijloace (e-mail, scrisoare) trebuie totuși onorate manual. Implicit: dezactivat."
"Offer Withdrawal For Countries","Oferă retragerea pentru țări"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Preselectate: UE-27 plus SEE (Norvegia, Islanda, Liechtenstein). Adăugați manual Regatul Unit dacă vizați consumatori din Regatul Unit (regim național separat cu un drept de 14 zile comparabil). Dacă goliți această listă, restricția nu are efect, iar procesul rămâne disponibil pentru toți clienții."
"Custom-made to your specifications","Fabricat conform specificațiilor dvs."
"Perishable goods","Bunuri perisabile"
"Sealed hygiene item — seal broken","Articol de igienă sigilat — sigiliu rupt"
"Sealed audio/video — seal broken","Audio/video sigilat — sigiliu rupt"
"Newspapers, periodicals, magazines","Ziare, publicații periodice, reviste"
"Accommodation / event on specific date","Cazare / eveniment la o dată specifică"
"Digital content — right waived at purchase","Conținut digital — drept renunțat la cumpărare"
"Withdrawal period has expired","Termenul de retragere a expirat"
"Already withdrawn in a prior request","Deja retras într-o cerere anterioară"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Un proiect de retragere reține acest articol. Confirmați-l prin e-mailul pe care l-am trimis sau anulați-l în secțiunea „Retrageri existente“ de mai sus."
