"View Credit Memo","Peržiūrėti kreditinį dokumentą"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kliento 16 str. m punkto atsisakymo kopija patvariojoje laikmenoje, siunčiama iškart po apmokėjimo, kai krepšelyje yra skaitmeninė prekė. Reikalaujama pagal Direktyvos 2011/83/ES 11a straipsnio 4 dalį — saugo nuo klastojimo apsaugotą kliento priimto teisinio teksto įrašą bei SHA-256 maišos kodą maišos grandinės patvirtinimui."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Atskirta kableliais. Audito tikslais gauna kiekvieno patvirtinimo kopiją."
"Branding (Shared by All Emails Above)","Prekės ženklas (bendras visiems aukščiau esantiems el. laiškams)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Neprivalomas klientams siunčiamų el. laiškų puošimas. Tušti laukai paslepia atitinkamas eilutes. Prekės ženklo užrašas, logotipas, palaikymo el. paštas ir parduotuvės adresas nuskaitomi iš standartinio Magento konfigūracijos medžio (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","USP juosta — 1 elementas"
"Icon","Piktograma"
"Title","Pavadinimas"
"Subtitle","Paantraštė"
"USP Strip — Item 2","USP juosta — 2 elementas"
"USP Strip — Item 3","USP juosta — 3 elementas"
"Social Links","Socialinių tinklų nuorodos"
"Instagram URL","Instagram URL"
"X / Twitter URL","X / Twitter URL"
"Facebook URL","Facebook URL"
"YouTube URL","YouTube URL"
"Order #","Užsakymas #"
"Contract","Sutartis"
"Submitter","Pateikėjas"
"Withdrawal submitted","Atsisakymas pateiktas"
"Right of Withdrawal — Required Information","Teisė atsisakyti sutarties — Privaloma informacija"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Prieš pateikdami užsakymą, peržiūrėkite 14 dienų atsisakymo teisės įgyvendinimo sąlygas, terminą ir tvarką. Ši informacija yra neatsiejama jūsų sutarties dalis."
"Conditions, Time Limit and Procedures for Withdrawal","Sutarties atsisakymo sąlygos, terminas ir tvarka"
"Start Online Return","Pradėti grąžinimą internetu"
"Download Model Withdrawal Form (Annex I(B))","Atsisiųsti pavyzdinę atsisakymo formą (I priedas, B dalis)"
"Withdrawal Information v%1 — Issued %2","Atsisakymo informacija v%1 — išleista %2"
"You'll receive a prepaid shipping label in the confirmation email.","Patvirtinimo el. laiške gausite iš anksto apmokėtą siuntimo etiketę."
"← Back to order search","← Atgal į užsakymų paiešką"
"← Back to items","← Atgal į prekes"
"Find order","Rasti užsakymą"
"Enter your order number and email","Įveskite užsakymo numerį ir el. paštą"
"Select items","Pasirinkti prekes"
"Choose items to return (partial withdrawal)","Pasirinkite grąžintinas prekes (dalinis atsisakymas)"
"Review & confirm","Peržiūrėti ir patvirtinti"
"Review your return details and confirm","Peržiūrėkite grąžinimo informaciją ir patvirtinkite"
"Request submitted","Prašymas pateiktas"
"We'll confirm your request by email","Patvirtinsime jūsų prašymą el. paštu"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Aiškiai sutinku, kad skaitmeninio turinio teikimas prasidėtų prieš pasibaigiant atsisakymo terminui."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Suprantu, kad davęs šį sutikimą prarandu teisę atsisakyti sutarties nuo vykdymo pradžios (Direktyvos 2011/83/ES 16 straipsnio m punktas)."
"Withdrawals","Atsisakymai"
"Minimum %1 characters required.","Reikalaujama bent %1 simbolių."
"Failed to add note.","Nepavyko pridėti pastabos."
"Network error while adding note.","Tinklo klaida pridedant pastabą."
"Exported Evidence","Eksportuoti įrodymai"
"Pending Confirm","Laukia patvirtinimo"
"Sent","Išsiųsta"
"Failed Permanent","Visam laikui nepavyko"
"Failed Retry","Nepavyko, bandoma iš naujo"
"Eligible","Tinkamas"
"Excluded","Neįtrauktas"
"Action","Veiksmas"
"From","Iš"
"To","Į"
"Admin Id","Administratoriaus ID"
"Order Id","Užsakymo ID"
"Request Id","Prašymo ID"
"Item Count","Prekių skaičius"
"Rules Fired","Pritaikytos taisyklės"
"Topic","Tema"
"Message Id","Pranešimo ID"
"Email To Hash","El. pašto maiša"
"Attempts","Bandymai"
"Viewed At","Peržiūrėta"
"Referrer Host","Nukreipiantis serveris"
"Enable \Other\"" with Free Text""","Įjungti „Kita“ su laisvu tekstu"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Neprivalomas teisinis šablonas — jo naudoti neprivaloma; sutarties atsisakymo teisę galima įgyvendinti ir bet kokiu nedviprasmišku pareiškimu."
"Right of withdrawal","Atsisakymo teisė"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Per 14 dienų nuo užsakymo gavimo galite atsisakyti nenurodydami priežasties — visa suma grąžinama į pradinį mokėjimo būdą."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Įstatymai gali neleisti atsisakyti tam tikrų prekių (greitai gendančių, pagamintų pagal užsakymą, užplombuotų higienos ar garso / vaizdo gaminių). Kitame puslapyje tiksliai parodysime, kas tinka."
"Direct link — no login or account password required.","Tiesioginė nuoroda — prisijungti ar paskyros slaptažodžio nereikia."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Klientui skirta UX atsisakymo srautui. Pogrupiai: <em>Mygtukai</em> (teisiškai svarbūs užrašai), <em>Vietos</em> (kur rodyti nuorodą), <em>Grąžinimo priežastys</em> (išskleidžiamasis sąrašas pagal prekę), <em>Peržiūros žingsnis</em> (turinys 3 srauto žingsnyje)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Išjunkite tik tuomet, jei patvariojoje laikmenoje pateikiamą patvirtinimą perduodate kitu kanalu."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Išjunkite tik tuomet, jei kvitą perduodate per kitą patvariąją laikmeną (paštu, atsisiunčiant iš kliento paskyros ir pan.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Tušti laukai grįžta prie pagrindinių verčių iš the locale baseline, atitinkančių lokalę/jurisdikciją. Bet kuri perrašyta vertė tampa SHA-256 maišos kodų, saugomų prie kiekvieno sutikimo įvykio, dalimi — pakeitus lauką po to, kai klientai jau davė sutikimą, ankstesnių sutikimų <strong>negaliojančiais atgaline data</strong> neda."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Privaloma ikisutartinė informacija apie atsisakymo teisę. Rodoma apmokėjimo žingsnyje atsiskaitymo metu. Kiekvienas rodymas forensiškai registruojamas (gynyba pagal 10 str.). Atvaizduoto teksto momentinė kopija saugoma nekeičiamai (6 str. 5 d.). <strong>Prieš pritaikant bet kurį I priedo tekstą rekomenduojama teisinė peržiūra.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Išjungta = blokas paslėptas, tačiau rodymo įvykiai vis tiek registruojami serverio pusėje per predispatch atsarginį mechanizmą. Naudoti tik sandbox testavimui. Numatyta: įjungta."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Pasirenkamieji URL adresai, atvaizduojami kaip apvalūs monogramos ženkleliai el. laiško poraštėje. Palikite tuščią, kad paslėptumėte."
"Sent when a customer cancels their own pending withdrawal.","Siunčiama, kai klientas atšaukia savo pateiktą laukiantį atsisakymą."
"Sent when a customer completes the withdrawal form.","Siunčiama, kai klientas užpildo atsisakymo formą."
"Sent when an admin approves a withdrawal request.","Siunčiama, kai administratorius patvirtina atsisakymo prašymą."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Siunčiama, kai administratorius atšaukia atsisakymo prašymą kliento vardu."
"Sent when an admin denies a withdrawal request.","Siunčiama, kai administratorius atmeta atsisakymo prašymą."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Šios išankstinės nuostatos pašalina tam tikras produktų kategorijas iš 14 dienų atsisakymo teisės pagal Direktyvos 2011/83/ES 16 str. Kiekviena taisyklė pagal numatytuosius nustatymus IŠJUNGTA — įjunkite tik įsitikinę, kad atitinkamas produkto atributas jūsų kataloge nustatytas teisingai."
"e.g. ""EU orders above €50""","pvz., „ES užsakymai virš 50 €“"
"e.g. ""Free delivery""","pvz., „Nemokamas pristatymas“"
"Qty: ","Kiek.: "
"Submission failed. Please try again.","Pateikimas nepavyko. Bandykite dar kartą."
"Network error. Please try again.","Tinklo klaida. Bandykite dar kartą."
"Invalid server response.","Netinkamas serverio atsakymas."
"Admin Notifications","Administratoriaus pranešimai"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Vidiniai įspėjimai jūsų komandai. Nepriklausomi nuo žemiau esančių <em>Klientų pranešimai</em> skiltyje esančių <em>BCC pardavėjui</em> žymėjimo langelių — jei įjungsite abu, gausite du el. laiškus už užklausą."
"1. New Request Alert","1. Pranešimas apie naują užklausą"
"Sent the moment a customer completes the two-step withdrawal flow.","Siunčiama tą akimirką, kai klientas užbaigia dviejų žingsnių atsisakymo procesą."
"Recipient Email(s)","Gavėjo el. paštas"
"BCC","Slaptoji kopija"
"New Withdrawal Request","Nauja atsisakymo užklausa"
"A new withdrawal request was just submitted.","Ką tik buvo pateikta nauja atsisakymo užklausa."
"Request:","Užklausa:"
"Order:","Užsakymas:"
"Customer:","Klientas:"
"Refund Total:","Bendra grąžinama suma:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Atsisakymas] Nauja užklausa %request_increment_id · Užsakymas #%order_increment_id · %refund_total"
"Anonymised","Anonimizuota"
"Audit","Auditas"
"Cancel Order","Atšaukti užsakymą"
"Confirmation Email (Art. 11a(4))","Patvirtinimo el. laiškas (11a(4) str.)"
"Detection (Art. 16(m))","Aptikimas (16(m) str.)"
"Digital Waiver (Art. 16(m))","Skaitmeninis atsisakymas (16(m) str.)"
"Email Identity","Siuntėjo tapatybė"
"ID","ID"
"Integrity hash","Vientisumo maiša"
"Pre-Contract Proof","Ikisutartinis įrodymas"
"Verify this receipt","Patikrinti šį patvirtinimą"
"Withdrawal Window","Atsisakymo laikotarpis"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ši SHA-256 maiša unikaliai identifikuoja jūsų atsisakymo įrašą. Galite jį patikrinti bet kada aukščiau esančiu mygtuku."
"Digital content waiver confirmation — Order %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Atskirti kableliais. Kiekvienas gavėjas gauna atskirą el. laišką, atvaizduotą jo paties administratoriaus lokale (per administratoriaus interface_locale; atsarginis — general/locale/code). Negaliojantys adresai tyliai atmetami."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Skaitmeninio turinio aptikimas pagal Vartotojų teisių direktyvos 16(m) str. Nustato, kas laikoma skaitmeniniu turiniu atsisakymo teisės tikslais. Faktinė atsisakymo sąsaja kasoje ir el. laiškas yra kitame skyriuje „Skaitmeninis atsisakymas“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Vartotojų teisių direktyvos 16(m) str. išimtis — skaitmeninis turinys, kuriam klientas (1) aiškiai išankstinį sutikimą davė pradėti vykdymą ir (2) pripažino prarandantis teisę atsisakyti. Funkciją valdo du jungikliai: pogrupis <em>Aptikimas</em> skiltyje <em>Tinkamumo taisyklės</em> nustato, kas yra skaitmeninis (pagrindinis jungiklis); ši sekcija pateikia 2 žymimųjų laukelių atsisakymo UI kasoje ir siunčia 11a(4) str. patvirtinimo el. laišką. Abu turi būti ĮJUNGTI. Lokalės teksto pakeitimai žemiau. Naudokite tik <strong>vienkartiniams skaitmeniniams pirkimams</strong> (el. knygos, diegyklės, muzikos failai, žaidimai). <strong>Ne</strong>ijunkite nuolatinėms skaitmeninėms <strong>prenumeratoms ar paslaugoms</strong> (SaaS, srautinis perdavimas, prieglobos PĮ) — ES teismų praktika (CJEU Sky, C-641/19) reikalauja kitokio sutikimo proceso."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Apibrėžia, <strong>kada</strong> prasideda 14 dienų atsisakymo teisė (pristatymo aktyviklis, 9(2)(b) str.) ir <strong>kiek</strong> dienų ji trunka (9(2) str.). Kartu jie valdo kiekvieno užsakymo atsisakymo laikotarpį."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Numatytasis 14 dienų pagal 9(2) str. Pratęsimas leidžiamas (pvz., 30, 100). Sumažinimas mažiau nei 14 yra neteisėtas — laukas patvirtina tik 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Įjungus krepšeliai, kuriuose yra aptikta skaitmeninė prekė, kasoje pateikia 2 žymimųjų laukelių atsisakymo žingsnį. Veiks tik tada, kai įjungta ir <em>Tinkamumo taisyklės → Aptikimas → Įjungti skaitmeninio turinio aptikimą</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Pasirinktinai. Atskirta kableliais. Siunčia atsisakymo patvirtinimo el. laiško slaptąją kopiją pardavėjo audito adresui. Palikite tuščią, kad praleistumėte."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Teisinis perspėjimas.</strong> Vartotojų teisių direktyvos 11a(2) str. reikalauja pažodinio teksto „atsisakyti sutarties čia“ <em>arba atitinkamos vienareikšmės formuluotės</em>. Numatytoji reikšmė („Atsisakyti sutarties čia“) yra Direktyvos pažodinė frazė; Lokalės vertimai patvirtinti teisininkų. <strong>Nepakeiskite, jei negavote rašytinio patarimo iš kvalifikuoto vartotojų teisės teisininko tikslinėje jurisdikcijoje.</strong> Kiekvienas pakeitimas įrašomas į audito žurnalą."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Teisinis perspėjimas.</strong> Tai galutinio patvirtinimo mygtuko žyma. Numatytoji reikšmė („Patvirtinti atsisakymą“) yra teisininkų patvirtinta; Lokalės vertimai yra teisininkų patvirtinti. Pakeiskite tik su rašytiniu teisiniu patarimu; pakeitimai įrašomi į audito žurnalą."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Atšaukti susietą užsakymą? Joks mokėjimas nepriimtas, todėl nėra ko grąžinti — užsakymas bus atšauktas „Magento“."
"Scope & Applicability","Taikymo sritis"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Nustato, kuriose rinkose siūlomas savitarnos atsisakymo procesas. Tai pardavėjo verslo sprendimai, o ne teisinės išimtys — ES vartotojo teisės aktais nustatyta atsisakymo teisė nuo jų nepriklauso, o kitomis priemonėmis (el. paštu, laišku) gauti atsisakymai vis tiek turi būti įvykdyti rankiniu būdu."
"Restrict by Country","Riboti pagal šalį"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Siūlo savitarnos atsisakymo procesą tik užsakymams, kurių sąskaitos <strong>arba</strong> pristatymo adresas yra pasirinktose šalyse. <strong>Teisinė pastaba:</strong> tai riboja tik procesą parduotuvėje — ES vartotojo teisės aktais nustatyta atsisakymo teisė nuo adreso nepriklauso, o kitomis priemonėmis (el. paštu, laišku) gauti atsisakymai vis tiek turi būti įvykdyti rankiniu būdu. Numatytasis: išjungta."
"Offer Withdrawal For Countries","Siūlyti atsisakymą šalims"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Iš anksto pasirinkta: ES-27 ir EEE (Norvegija, Islandija, Lichtenšteinas). Jungtinę Karalystę pridėkite rankiniu būdu, jei taikotės į Jungtinės Karalystės vartotojus (atskiras nacionalinis režimas su panašia 14 dienų teise). Jei išvalysite šį sąrašą, apribojimas neturi poveikio ir procesas lieka prieinamas visiems klientams."
"Custom-made to your specifications","Pagaminta pagal jūsų specifikacijas"
"Perishable goods","Greitai gendančios prekės"
"Sealed hygiene item — seal broken","Užplombuotas higienos gaminys — plomba pažeista"
"Sealed audio/video — seal broken","Užplombuotas garso/vaizdo įrašas — plomba pažeista"
"Newspapers, periodicals, magazines","Laikraščiai, periodiniai leidiniai, žurnalai"
"Accommodation / event on specific date","Apgyvendinimas / renginys konkrečią dieną"
"Digital content — right waived at purchase","Skaitmeninis turinys — teisės atsisakyta perkant"
"Withdrawal period has expired","Atsisakymo terminas pasibaigė"
"Already withdrawn in a prior request","Jau atsisakyta ankstesniu prašymu"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Šią prekę laiko atsisakymo juodraštis. Patvirtinkite jį mūsų atsiųstu el. laišku arba atšaukite jį skiltyje „Esami atsisakymai“ viršuje."
