"View Credit Memo","Ver nota de crédito"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Por quanto tempo o <strong>hash de conteúdo</strong> (prova em suporte duradouro do art. 11.º-A, n.º 4) permanece. Depois de os dados pessoais terem sido apagados conforme acima, a linha mantém apenas o hash SHA-256 e os carimbos de data/hora do comprovativo até este período expirar; em seguida, o cron <strong>elimina a linha inteira</strong>.<br/><br/>
                        <strong>Predefinição: 2190 dias (6 anos).</strong> Corresponde à obrigação de retenção de registos comerciais mais longa dos Estados-Membros da UE (normalmente 6 anos para contabilidade / IVA). Deve ser ≥ Retenção de dados pessoais. Intervalo: 2190–3650 dias."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Registo de auditoria apenas adicionável de todos os eventos do ciclo de vida da livre resolução (responsabilidade nos termos do art. 5.º, n.º 2, do RGPD).
                    Os dados pessoais (IP, agente do utilizador, ID do ator-cliente) são automaticamente anulados após o período de retenção.
                    As próprias linhas de auditoria nunca são eliminadas — apenas anonimizadas."
"Order #","Encomenda #"
"Contract","Contrato"
"Submitter","Remetente"
"Withdrawal submitted","Livre resolução submetida"
"Right of Withdrawal — Required Information","Direito de livre resolução — Informação obrigatória"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Antes de efetuar a sua encomenda, leia as condições, o prazo e os procedimentos para o exercício do seu direito de livre resolução de 14 dias. Esta informação faz parte do seu contrato."
"Conditions, Time Limit and Procedures for Withdrawal","Condições, prazo e procedimentos de livre resolução"
"Start Online Return","Iniciar devolução online"
"Download Model Withdrawal Form (Annex I(B))","Descarregar modelo do formulário de livre resolução (Anexo I(B))"
"Withdrawal Information v%1 — Issued %2","Informações sobre livre resolução v%1 — emitido em %2"
"You'll receive a prepaid shipping label in the confirmation email.","Receberá uma etiqueta de envio pré-paga no email de confirmação."
"← Back to order search","← Voltar à pesquisa de encomendas"
"← Back to items","← Voltar aos artigos"
"Find order","Encontrar encomenda"
"Enter your order number and email","Introduza o número da encomenda e o email"
"Select items","Selecionar artigos"
"Choose items to return (partial withdrawal)","Escolha os artigos a devolver (livre resolução parcial)"
"Review & confirm","Rever e confirmar"
"Review your return details and confirm","Reveja os detalhes da devolução e confirme"
"Request submitted","Pedido enviado"
"We'll confirm your request by email","Confirmaremos o seu pedido por email"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Consinto expressamente o início da execução do conteúdo digital antes do termo do prazo de livre resolução."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Reconheço que, ao prestar este consentimento, perco o meu direito de livre resolução assim que a execução tiver início (art. 16.º, alínea m), Diretiva 2011/83/UE)."
"Withdrawals","Direitos de livre resolução"
"Minimum %1 characters required.","São necessários no mínimo %1 caracteres."
"Failed to add note.","Falha ao adicionar a nota."
"Network error while adding note.","Erro de rede ao adicionar a nota."
"Exported Evidence","Prova exportada"
"Pending Confirm","Pendente de confirmação"
"Sent","Enviado"
"Failed Permanent","Falha permanente"
"Failed Retry","Falha com nova tentativa"
"Eligible","Elegível"
"Excluded","Excluído"
"Action","Ação"
"From","De"
"To","Para"
"Admin Id","ID de admin."
"Order Id","ID da encomenda"
"Request Id","ID do pedido"
"Item Count","Quantidade de artigos"
"Rules Fired","Regras aplicadas"
"Topic","Tópico"
"Message Id","ID da mensagem"
"Email To Hash","Hash do e-mail"
"Attempts","Tentativas"
"Viewed At","Visualizado em"
"Referrer Host","Anfitrião referente"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Modelo legal opcional — não é obrigatório utilizá-lo; pode igualmente exercer o direito de livre resolução através de qualquer declaração inequívoca."
"Right of withdrawal","Direito de livre resolução"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Tem 14 dias a contar do dia em que recebe a encomenda para resolver o contrato sem necessidade de justificação — reembolso integral pelo seu método de pagamento original."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Alguns artigos podem ser excluídos por lei (bens perecíveis, artigos feitos por medida, produtos selados de higiene ou de áudio/vídeo). Mostrar-lhe-emos exatamente o que é elegível na próxima página."
"Direct link — no login or account password required.","Ligação direta — não é necessário iniciar sessão nem ter palavra-passe de conta."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX voltada ao cliente para o fluxo de livre resolução. Subgrupos: <em>Botões</em> (rótulos juridicamente relevantes), <em>Posicionamentos</em> (onde apresentar a ligação), <em>Motivos de devolução</em> (lista pendente por artigo), <em>Etapa de revisão</em> (conteúdo do passo 3 do fluxo)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Desative apenas se entregar a confirmação em suporte duradouro através de outro canal."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Desative apenas se entregar o comprovativo através de outro suporte duradouro (correio postal, transferência na conta do cliente, etc.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Os campos vazios recorrem à linha de base de the locale baseline para a localização/jurisdição. Qualquer valor de substituição passa a integrar o hash SHA-256 armazenado em cada evento de consentimento — alterar um campo após os clientes terem consentido <strong>não</strong> invalida retroativamente os consentimentos anteriores."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Informação pré-contratual obrigatória sobre o direito de livre resolução. Apresentada na etapa de pagamento do checkout. Cada apresentação é registada de forma forense (defesa ao abrigo do art. 10.º). É armazenado de forma imutável um instantâneo do texto renderizado (art. 6.º, n.º 5). <strong>Recomenda-se revisão jurídica antes de personalizar qualquer texto do anexo I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Desligado = bloco oculto mas os eventos de apresentação continuam a ser registados do lado do servidor através do recurso predispatch. Utilize apenas para testes em sandbox. Predefinição: ligado."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","URLs opcionais apresentados como emblemas circulares com monograma no rodapé do e-mail. Deixe em branco para ocultar."
"Sent when a customer cancels their own pending withdrawal.","Enviado quando um cliente cancela a sua própria livre resolução pendente."
"Sent when a customer completes the withdrawal form.","Enviado quando um cliente conclui o formulário de livre resolução."
"Sent when an admin approves a withdrawal request.","Enviado quando um administrador aprova um pedido de livre resolução."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Enviado quando um administrador cancela um pedido de livre resolução em nome do cliente."
"Sent when an admin denies a withdrawal request.","Enviado quando um administrador recusa um pedido de livre resolução."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Estas predefinições excluem determinadas categorias de produtos do direito de livre resolução de 14 dias, ao abrigo do art. 16.º da CRD. Cada regra está DESLIGADA por predefinição — ative apenas depois de confirmar que o atributo de produto correspondente está corretamente definido no seu catálogo."
"e.g. ""EU orders above €50""","p. ex. «Encomendas UE acima de 50 €»"
"e.g. ""Free delivery""","p. ex. «Entrega grátis»"
"Qty: ","Qtd.: "
"Submission failed. Please try again.","Envio falhou. Por favor, tente novamente."
"Network error. Please try again.","Erro de rede. Por favor, tente novamente."
"Invalid server response.","Resposta do servidor inválida."
"Admin Notifications","Notificações do administrador"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Alertas internos para a sua equipa. Independentes das caixas <em>BCC para o comerciante</em> em <em>Notificações ao cliente</em> abaixo — se ativar ambos, receberá dois e-mails por pedido."
"1. New Request Alert","1. Alerta de novo pedido"
"Sent the moment a customer completes the two-step withdrawal flow.","Enviado no momento em que um cliente conclui o fluxo de desistência em dois passos."
"Recipient Email(s)","E-mail(s) do destinatário"
"BCC","BCC"
"New Withdrawal Request","Novo pedido de desistência"
"A new withdrawal request was just submitted.","Foi enviado um novo pedido de desistência."
"Request:","Pedido:"
"Order:","Encomenda:"
"Customer:","Cliente:"
"Refund Total:","Reembolso total:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Desistência] Novo pedido %request_increment_id · Encomenda #%order_increment_id · %refund_total"
"Anonymised","Anonimizado"
"Audit","Auditoria"
"Cancel Order","Cancelar encomenda"
"Confirmation Email (Art. 11a(4))","E-mail de confirmação (Art. 11.º-A(4))"
"Detection (Art. 16(m))","Deteção (Art. 16.º(m))"
"Digital Waiver (Art. 16(m))","Renúncia digital (Art. 16.º(m))"
"Email Identity","Identidade do remetente"
"ID","ID"
"Integrity hash","Hash de integridade"
"Pre-Contract Proof","Prova pré-contratual"
"Verify this receipt","Verificar este recibo"
"Withdrawal Window","Prazo de desistência"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Este hash SHA-256 identifica de forma única o seu registo de desistência. Pode verificá-lo a qualquer momento com o botão acima."
"Digital content waiver confirmation — Order %increment_id","Confirmação de renúncia a conteúdo digital — Encomenda %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Separados por vírgulas. Cada destinatário recebe um e-mail separado renderizado na sua própria localidade de administração (procurada via interface_locale do utilizador admin; recurso — general/locale/code). Os endereços inválidos são descartados silenciosamente."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Deteção de conteúdo digital ao abrigo do Art. 16.º(m) DDC. Determina o que conta como conteúdo digital para efeitos de elegibilidade. A interface de renúncia no checkout e o e-mail estão na secção seguinte «Renúncia digital»."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Exceção Art. 16.º(m) DDC — conteúdo digital em que o cliente (1) deu consentimento expresso prévio para iniciar a prestação e (2) reconheceu a perda do direito de desistência. Dois interruptores controlam a funcionalidade: o subgrupo <em>Deteção</em> em <em>Regras de elegibilidade</em> decide o que conta como digital (interruptor principal); esta secção renderiza a UI de renúncia com 2 caixas de seleção no checkout e envia o e-mail de confirmação do Art. 11.º-A(4). Ambos devem estar LIGADOS. Substituições de texto por localidade abaixo. Use apenas para <strong>compras digitais únicas</strong> (e-books, instaladores, ficheiros de música, jogos). <strong>Não</strong> ative para <strong>subscrições ou serviços</strong> digitais contínuos (SaaS, streaming, software alojado) — a jurisprudência da UE (CJEU Sky, C-641/19) exige um fluxo de consentimento diferente."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Define <strong>quando</strong> começa o direito de desistência de 14 dias (acionador de entrega, Art. 9.º(2)(b)) e <strong>quanto</strong> dura em dias (Art. 9.º(2)). Em conjunto, controlam o período em que a desistência de cada encomenda está aberta."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Predefinição de 14 dias conforme Art. 9.º(2). Extensão permitida (por exemplo, 30, 100). Redução abaixo de 14 é ilegal — o campo valida apenas 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Quando ligado, carrinhos que contêm um item digital detetado renderizam o passo de renúncia com 2 caixas de seleção no checkout. Sem efeito a menos que <em>Regras de elegibilidade → Deteção → Ativar deteção de conteúdo digital</em> também esteja ligado."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcional. Separados por vírgulas. Envia uma cópia oculta do e-mail de confirmação de renúncia para um endereço de auditoria do comerciante. Deixe em branco para ignorar."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Aviso legal.</strong> O Art. 11a(2) DDC exige o texto literal «desistir do contrato aqui» <em>ou uma formulação equivalente sem ambiguidade</em>. O valor predefinido («Desistir do contrato aqui») é a frase literal da Diretiva; As traduções por localidade são assinadas por advogados. <strong>Não substitua a menos que tenha recebido aconselhamento por escrito de um advogado qualificado em direito do consumo na jurisdição-alvo.</strong> Cada substituição é registada no log de auditoria."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Aviso legal.</strong> Este é o rótulo do botão final de confirmação. O valor predefinido («Confirmar desistência») é assinado por advogados; As traduções por localidade são assinadas por advogados. Substitua apenas com aconselhamento jurídico por escrito; as substituições são registadas no log de auditoria."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Cancelar a encomenda associada? Não foi capturado nenhum pagamento, pelo que não há nada a reembolsar — a encomenda será cancelada no Magento."
"Two-stage GDPR data lifecycle. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods and are aged out separately.","Ciclo de vida de dados RGPD em duas fases. Os pedidos de desistência contêm tanto dados <em>identificáveis pessoalmente</em> (nome do cliente, e-mail, IP, user agent, notas de admin, motivos de recusa) como um hash de conteúdo que é a prova legal em <em>suporte duradouro</em> do Art. 11a(4). Os dois têm períodos obrigatórios de conservação diferentes e são eliminados separadamente."
"How long the <strong>personally identifiable fields</strong> (customer name, email, IP, user agent, denial reason, admin note) are kept before they are nullified by the daily privacy cron. The withdrawal record itself stays — only PII is wiped. Counted from the record's creation date.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Quanto tempo os <strong>campos identificáveis pessoalmente</strong> (nome do cliente, e-mail, IP, user agent, motivo de recusa, nota de admin) são mantidos antes de serem anulados pelo cron diário de privacidade. O próprio registo de desistência permanece — apenas o PII é apagado. Contado a partir da data de criação do registo.<br/><br/>
                        <strong>Predefinição: 730 dias (2 anos).</strong> Este é o limite mínimo — Art. 5.º(1)(e) RGPD («limitação da conservação») equilibrado com os prazos de prescrição das reivindicações de direitos dos consumidores na maioria dos Estados-Membros da UE (1–2 anos). Intervalo: 730–3650 dias."
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) is retained. After PII has been wiped, the record keeps only the hash and receipt timestamps until this period expires; then the record is deleted entirely.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Quanto tempo o <strong>hash de conteúdo</strong> (prova em suporte duradouro do Art. 11a(4)) é mantido. Depois do PII apagado, o registo conserva apenas o hash e os carimbos temporais do recibo até este período expirar; depois o registo é eliminado por completo.<br/><br/>
                        <strong>Predefinição: 2190 dias (6 anos).</strong> Corresponde à obrigação de conservação mais longa de registos comerciais em Estados-Membros da UE (geralmente 6 anos para contabilidade / IVA). Deve ser ≥ Conservação PII. Intervalo: 2190–3650 dias."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability). Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period. The audit log itself stays — only PII is wiped.","Log de auditoria append-only de todos os eventos do ciclo de vida das desistências (responsabilidade Art. 5.º(2) RGPD). Os dados pessoais (IP, user agent, ID do ator cliente) são automaticamente anulados após o período de conservação. O log de auditoria em si permanece — apenas o PII é apagado."
