"View Credit Memo","Προβολή πιστωτικού σημειώματος"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Ποιες ευρετικές τύπου προϊόντος ενεργοποιούν την πύλη παραίτησης ψηφιακού περιεχομένου. Τα Downloadable + virtual είναι ασφαλείς προεπιλογές· το bundle_contains_digital εξετάζει τα υποπροϊόντα του πακέτου· το custom_attribute διαβάζει τη σημαία EAV που διαμορφώνεται παρακάτω."
"Custom Attribute Code","Κωδικός προσαρμοσμένου χαρακτηριστικού"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Κωδικός χαρακτηριστικού EAV που χρησιμοποιείται <strong>μόνο</strong> όταν επιλέγεται η <em>Σημαία προσαρμοσμένου χαρακτηριστικού</em> στις <em>Στρατηγικές ανίχνευσης</em> παραπάνω. Προεπιλογή: <code>is_digital_content</code> (boolean χαρακτηριστικό, 1 = ψηφιακό). Διαφορετικά αγνοείται."
"Checkout Step + Email","Βήμα ολοκλήρωσης παραγγελίας + email"
"Enable Checkout Waiver Step","Ενεργοποίηση βήματος συναίνεσης στην ολοκλήρωση παραγγελίας"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Όταν είναι ενεργοποιημένο, τα καλάθια που περιέχουν εντοπισμένο ψηφιακό είδος εμφανίζουν το βήμα παραίτησης 2 πλαισίων ελέγχου κατά την ολοκλήρωση παραγγελίας. Δεν έχει αποτέλεσμα εκτός εάν είναι επίσης ενεργοποιημένο το <em>Ανίχνευση → Ενεργοποίηση ανίχνευσης ψηφιακού περιεχομένου</em>."
"Merchant BCC Address for Confirmation Emails","Διεύθυνση κρυφής κοινοποίησης εμπόρου για email επιβεβαίωσης"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Προαιρετικό. Στέλνει κρυφό αντίγραφο του email επιβεβαίωσης παραίτησης σε διεύθυνση ελέγχου του εμπόρου. Αφήστε κενό για παράλειψη."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Σήμανση αποκλειστικά εικονικών ειδών ως έναρξη εκτέλεσης κατά την επιβεβαίωση"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Τα εικονικά προϊόντα δεν έχουν έναυσμα λήψης. Όταν είναι ενεργοποιημένο, η αποστολή του email επιβεβαίωσης παραίτησης μετρά ως έναρξη εκτέλεσης για είδη αποκλειστικά εικονικά (όριο I-6)."
"Confirmation Email Identity","Ταυτότητα αποστολέα email επιβεβαίωσης"
"Per-Locale Waiver Text Overrides","Υπερκαλύψεις κειμένου συναίνεσης ανά γλώσσα"
"English (en_US)","Αγγλικά (en_US)"
"Consent Text","Κείμενο συναίνεσης"
"Right-Loss Acknowledgment Text","Κείμενο αναγνώρισης απώλειας δικαιώματος"
"German (de_DE)","Γερμανικά (de_DE)"
"Finnish (fi_FI)","Φινλανδικά (fi_FI)"
"Dutch (nl_NL)","Ολλανδικά (nl_NL)"
"French (fr_FR)","Γαλλικά (fr_FR)"
"Italian (it_IT)","Ιταλικά (it_IT)"
"Spanish (es_ES)","Ισπανικά (es_ES)"
"Polish (pl_PL)","Πολωνικά (pl_PL)"
"Portuguese (pt_PT)","Πορτογαλικά (pt_PT)"
"Danish (da_DK)","Δανικά (da_DK)"
"Swedish (sv_SE)","Σουηδικά (sv_SE)"
"German — Austria (de_AT)","Γερμανικά — Αυστρία (de_AT)"
"Swedish — Finland (sv_FI)","Σουηδικά — Φινλανδία (sv_FI)"
"Dutch — Belgium (nl_BE)","Ολλανδικά — Βέλγιο (nl_BE)"
"French — Belgium (fr_BE)","Γαλλικά — Βέλγιο (fr_BE)"
"German — Belgium (de_BE)","Γερμανικά — Βέλγιο (de_BE)"
"French — Luxembourg (fr_LU)","Γαλλικά — Λουξεμβούργο (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Προσυμβατικές πληροφορίες (Άρθρο 6(1)(η))"
"Enable Pre-Contract Disclosure","Ενεργοποίηση προσυμβατικής ενημέρωσης"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Κύριος διακόπτης απενεργοποίησης. Απενεργοποιημένο = το μπλοκ δεν εμφανίζεται και δεν καταγράφονται συμβάντα προβολής. Η απενεργοποίηση εκθέτει τον έμπορο στο Άρθρο 10 (παρατεταμένη προθεσμία υπαναχώρησης 12 μηνών + 14 ημερών). Προεπιλογή: ενεργοποιημένο."
"Withdrawal Period (Days)","Προθεσμία υπαναχώρησης (ημέρες)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Προεπιλογή 14 ημέρες κατά το Άρθρο 9(2). Επιτρέπεται παράταση (π.χ. 30, 100). Η μείωση κάτω από 14 είναι παράνομη — το πεδίο επικυρώνει >=14 μόνο όταν η επέκταση είναι ενεργοποιημένη."
"Return Address","Διεύθυνση επιστροφής"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Πού επιστρέφουν τα αγαθά οι καταναλωτές. Αφήστε κενό για να χρησιμοποιηθεί η διεύθυνση από το Καταστήματα → Διαμόρφωση → Γενικά → Γενικά → Πληροφορίες καταστήματος."
"Display In Checkout","Εμφάνιση στην ολοκλήρωση παραγγελίας"
"Annex I Overrides Per Locale","Υπερκαλύψεις Παραρτήματος I ανά γλώσσα"
"Bulgarian (bg_BG)","Βουλγαρικά (bg_BG)"
"Czech (cs_CZ)","Τσεχικά (cs_CZ)"
"Greek (el_GR)","Ελληνικά (el_GR)"
"Estonian (et_EE)","Εσθονικά (et_EE)"
"Croatian (hr_HR)","Κροατικά (hr_HR)"
"Hungarian (hu_HU)","Ουγγρικά (hu_HU)"
"Lithuanian (lt_LT)","Λιθουανικά (lt_LT)"
"Latvian (lv_LV)","Λετονικά (lv_LV)"
"Romanian (ro_RO)","Ρουμανικά (ro_RO)"
"Slovak (sk_SK)","Σλοβακικά (sk_SK)"
"Slovenian (sl_SI)","Σλοβενικά (sl_SI)"
"Frontend","Front-end"
"Buttons","Κουμπιά"
"Step 1 Button Label","Ετικέτα κουμπιού βήματος 1"
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase. Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Νομική προειδοποίηση (κενό #4).</strong> Το Άρθρο 11α(2) της Οδηγίας 2011/83/ΕΕ απαιτεί το κατά λέξη κείμενο ""υπαναχωρήστε από τη σύμβαση εδώ"" <em>ή αντίστοιχη ξεκάθαρη διατύπωση</em>. Η προεπιλεγμένη τιμή (""Υπαναχώρηση από τη σύμβαση εδώ"") είναι η κατά λέξη φράση της Οδηγίας· οι μεταφράσεις ανά γλώσσα παρέχονται στο <code>i18n/*.csv</code> και αποτελούν τη διατύπωση που έχει υπογραφεί από νομικούς συμβούλους και έχει κλειδωθεί στην ετικέτα <code>legal.button-labels.v1</code>. <strong>Μην υπερκαλύψετε εκτός εάν έχετε λάβει γραπτή συμβουλή από εξειδικευμένο νομικό σύμβουλο καταναλωτικού δικαίου στη δικαιοδοσία-στόχο.</strong> Κάθε υπερκάλυψη καταγράφεται στο μητρώο ελέγχου."
"Step 2 Button Label (Confirmation)","Ετικέτα κουμπιού βήματος 2 (επιβεβαίωση)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Νομική προειδοποίηση (κενό #4).</strong> Αυτή είναι η ετικέτα στο τελικό κουμπί επιβεβαίωσης. Η προεπιλογή (""Επιβεβαίωση υπαναχώρησης"") είναι υπογεγραμμένη από νομικούς συμβούλους· μεταφράσεις ανά γλώσσα στο <code>i18n/*.csv</code>. Υπερκαλύψτε μόνο με γραπτή νομική συμβουλή· οι υπερκαλύψεις καταγράφονται στο μητρώο ελέγχου."
"Placements","Τοποθετήσεις"
"Show Footer Link","Εμφάνιση συνδέσμου υποσέλιδου"
"Show in My Account","Εμφάνιση στον Λογαριασμό μου"
"Return Reasons","Λόγοι επιστροφής"
"Reasons","Λόγοι"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Λίστα λόγων που προσφέρονται στον πελάτη στην αναπτυσσόμενη λίστα κάθε είδους. Ο <strong>Κωδικός</strong> είναι η μηχανική τιμή που αποθηκεύεται στη βάση δεδομένων (πεζά, snake_case, μέγ. 32 χαρακτήρες)· η <strong>Ετικέτα</strong> είναι το ορατό κείμενο. Άδειο πλέγμα αποκρύπτει εντελώς την αναπτυσσόμενη λίστα."
"Enable ""Other"" with Free Text","Ενεργοποίηση ""Άλλο"" με ελεύθερο κείμενο"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Όταν ενεργοποιηθεί, εμφανίζεται μια επιλογή ""Άλλο"" στην αναπτυσσόμενη λίστα που αποκαλύπτει ένα πεδίο ελεύθερου κειμένου (μέγ. 500 χαρακτήρες)."
"Review Step","Βήμα αναθεώρησης"
"Return Shipping Notice","Γνωστοποίηση αποστολής επιστροφής"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Κείμενο που εμφανίζεται στο βήμα Επανεξέταση & Επιβεβαίωση (βήμα 3). Παράδειγμα: ""Θα λάβετε προπληρωμένη ετικέτα αποστολής στο email επιβεβαίωσης."" ή ""Τα έξοδα αποστολής επιστροφής βαρύνουν τον πελάτη."" Αφήστε κενό για απόκρυψη της γραμμής."
"Return Policy URL","URL πολιτικής επιστροφών"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Προαιρετικός σύνδεσμος που εμφανίζεται δίπλα στη γνωστοποίηση αποστολής (""Προβολή πολιτικής επιστροφών""). Αποδέχεται απόλυτα URL ή σχετικές διαδρομές όπως ""return-policy""."
"Customer Notifications","Ειδοποιήσεις πελατών"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Όλα τα email προς τους πελάτες που αποστέλλει η επέκταση. Κάθε email μπορεί να ενεργοποιηθεί/απενεργοποιηθεί, να αντιστοιχιστεί σε προσαρμοσμένο πρότυπο (Marketing → Email Templates) και να αποστέλλεται σε διεύθυνση εμπόρου με κρυφή κοινοποίηση. Η κοινή υποομάδα <em>Επωνυμία</em> στο κάτω μέρος ελέγχει τη διάταξη (λωρίδα USP, σύνδεσμοι κοινωνικών δικτύων) που χρησιμοποιείται από όλα τα παρακάτω email."
"1. Submission Confirmation Email","1. Email επιβεβαίωσης υποβολής"
"Enabled","Ενεργοποιημένο"
"Email Template","Πρότυπο email"
"BCC Merchant","Κρυφή κοινοποίηση στον έμπορο"
"Comma-separated. Leave blank to disable.","Διαχωρισμένο με κόμματα. Αφήστε κενό για απενεργοποίηση."
"2. Approval Email","2. Email έγκρισης"
"3. Denial Email","3. Email απόρριψης"
"4. Cancellation Email (Admin-Initiated)","4. Email ακύρωσης (από διαχειριστή)"
"5. Cancellation Email (Customer Self-Cancel)","5. Email ακύρωσης (από τον πελάτη)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Email απόδειξης (σταθερό μέσο — Άρθρο 11α(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Νομικά απαιτούμενη επιβεβαίωση σε σταθερό μέσο. Δεν μπορεί να απενεργοποιηθεί πλήρως (Άρθρο 11α(4) Οδηγία 2011/83/ΕΕ). Η απενεργοποίηση εδώ διακόπτει μόνο την αποστολή — η απόδειξη εξακολουθεί να δημιουργείται και να αποθηκεύεται."
"Send Email","Αποστολή email"
"Comma-separated.","Διαχωρισμένο με κόμματα."
"Delivery Retry Attempts","Προσπάθειες επανάληψης παράδοσης"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Παραλήπτης ειδοποιήσεων DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Ειδοποιείται όταν μια απόδειξη αποτυγχάνει οριστικά. Επιστρέφει στις διευθύνσεις email καταστήματος → Γενική επικοινωνία."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Email επιβεβαίωσης ψηφιακής συναίνεσης (Άρθρο 11α(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Αντίγραφο σε σταθερό μέσο της παραίτησης του πελάτη βάσει του Άρθρου 16(μ), αποστέλλεται αμέσως μετά την ολοκλήρωση παραγγελίας όταν υπάρχει ψηφιακό είδος στο καλάθι. Απαιτείται από το Άρθρο 11α(4) Οδηγία 2011/83/ΕΕ — διατηρεί ανθεκτική στην παραποίηση καταγραφή του νομικού κειμένου που αποδέχθηκε ο πελάτης, καθώς και το SHA-256 hash για επαλήθευση αλυσίδας hash."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Διαχωρισμένο με κόμματα. Λαμβάνει αντίγραφο κάθε επιβεβαίωσης για σκοπούς ελέγχου."
"Branding (Shared by All Emails Above)","Επωνυμία (κοινή για όλα τα παραπάνω email)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Προαιρετική διακόσμηση των email προς πελάτες. Τα κενά πεδία αποκρύπτουν τις αντίστοιχες γραμμές. Το λεκτικό σήμα της επωνυμίας, το λογότυπο, το email υποστήριξης και η διεύθυνση καταστήματος διαβάζονται από το τυπικό δέντρο διαμόρφωσης του Magento (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","Λωρίδα USP — στοιχείο 1"
"Icon","Εικονίδιο"
"Title","Τίτλος"
"Subtitle","Υπότιτλος"
"USP Strip — Item 2","Λωρίδα USP — στοιχείο 2"
"USP Strip — Item 3","Λωρίδα USP — στοιχείο 3"
"Social Links","Σύνδεσμοι κοινωνικών δικτύων"
"Instagram URL","URL Instagram"
"X / Twitter URL","URL X / Twitter"
"Facebook URL","URL Facebook"
"YouTube URL","URL YouTube"
"Privacy & Retention","Απόρρητο και διατήρηση"
"Two-stage GDPR data lifecycle for the <code>mm_eu_withdrawal_request</code> table. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods, so we store them on the same row and age them out separately.","Κύκλος ζωής δεδομένων GDPR δύο σταδίων για τον πίνακα <code>mm_eu_withdrawal_request</code>. Τα αιτήματα υπαναχώρησης περιέχουν τόσο <em>προσωπικά αναγνωρίσιμα</em> δεδομένα (όνομα πελάτη, email, IP, user agent, σημειώσεις διαχειριστή, λόγους απόρριψης) όσο και ένα hash περιεχομένου που αποτελεί τη νομική απόδειξη <em>σταθερού μέσου</em> του Άρθρου 11α(4). Τα δύο έχουν διαφορετικές υποχρεωτικές περιόδους διατήρησης, οπότε τα αποθηκεύουμε στην ίδια γραμμή και τα διαγράφουμε ξεχωριστά."
"PII Retention (days)","Διατήρηση PII (ημέρες)"
"How long the <strong>personally identifiable columns</strong> stay on a row before the daily cron <strong>nullifies</strong> them: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. The row itself stays — only PII is wiped. Counted from the row's <code>created_at</code>.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Πόσο καιρό παραμένουν οι <strong>προσωπικά αναγνωρίσιμες στήλες</strong> σε μια γραμμή πριν το ημερήσιο cron τις <strong>μηδενίσει</strong>: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. Η ίδια η γραμμή παραμένει — διαγράφονται μόνο τα PII. Μετρά από το <code>created_at</code> της γραμμής.<br/><br/>
                        <strong>Προεπιλογή: 730 ημέρες (2 έτη).</strong> Αυτό είναι το ελάχιστο — Άρθρο 5(1)(ε) ΓΚΠΔ (""περιορισμός αποθήκευσης"") σε ισορροπία με τις προθεσμίες παραγραφής αξιώσεων καταναλωτικών δικαιωμάτων στα περισσότερα κράτη μέλη της ΕΕ (1–2 έτη). Εύρος: 730–3650 ημέρες."
"Hash Retention (days)","Διατήρηση hash (ημέρες)"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Πόσο καιρό παραμένει το <strong>hash περιεχομένου</strong> (απόδειξη σταθερού μέσου του Άρθρου 11α(4)). Μετά τη διαγραφή των PII παραπάνω, η γραμμή διατηρεί μόνο το SHA-256 hash και τις χρονοσημάνσεις απόδειξης μέχρι τη λήξη αυτής της περιόδου· τότε το cron <strong>διαγράφει ολόκληρη τη γραμμή</strong>.<br/><br/>
                        <strong>Προεπιλογή: 2190 ημέρες (6 έτη).</strong> Αντιστοιχεί στη μεγαλύτερη υποχρέωση διατήρησης εμπορικών αρχείων σε κράτη μέλη της ΕΕ (συνήθως 6 έτη για λογιστική / ΦΠΑ). Πρέπει να είναι ≥ Διατήρηση PII. Εύρος: 2190–3650 ημέρες."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Μητρώο ελέγχου μόνο προσθήκης για όλα τα συμβάντα κύκλου ζωής υπαναχώρησης (λογοδοσία Άρθρο 5(2) ΓΚΠΔ).
                    Τα προσωπικά δεδομένα (IP, user agent, αναγνωριστικό δράστη πελάτη) μηδενίζονται αυτόματα μετά την περίοδο διατήρησης.
                    Οι ίδιες οι γραμμές μητρώου δεν διαγράφονται ποτέ — μόνο ανωνυμοποιούνται."
"Order #","Παραγγελία #"
"Contract","Σύμβαση"
"Submitter","Υποβάλλων"
"Withdrawal submitted","Η υπαναχώρηση υποβλήθηκε"
"Right of Withdrawal — Required Information","Δικαίωμα υπαναχώρησης — Απαιτούμενες πληροφορίες"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Πριν υποβάλετε την παραγγελία σας, παρακαλούμε ανατρέξτε στους όρους, την προθεσμία και τις διαδικασίες άσκησης του 14ήμερου δικαιώματος υπαναχώρησης. Αυτές οι πληροφορίες αποτελούν μέρος της σύμβασής σας."
"Conditions, Time Limit and Procedures for Withdrawal","Όροι, προθεσμία και διαδικασίες υπαναχώρησης"
"Start Online Return","Έναρξη επιστροφής online"
"Download Model Withdrawal Form (Annex I(B))","Λήψη υποδείγματος εντύπου υπαναχώρησης (Παράρτημα I(Β))"
"Withdrawal Information v%1 — Issued %2","Πληροφορίες υπαναχώρησης v%1 — έκδοση %2"
"You'll receive a prepaid shipping label in the confirmation email.","Θα λάβετε προπληρωμένη ετικέτα αποστολής στο email επιβεβαίωσης."
"← Back to order search","← Επιστροφή στην αναζήτηση παραγγελίας"
"← Back to items","← Επιστροφή στα αντικείμενα"
"Find order","Βρείτε παραγγελία"
"Enter your order number and email","Εισαγάγετε αριθμό παραγγελίας και email"
"Select items","Επιλογή αντικειμένων"
"Choose items to return (partial withdrawal)","Επιλέξτε αντικείμενα προς επιστροφή (μερική υπαναχώρηση)"
"Review & confirm","Επανεξέταση & επιβεβαίωση"
"Review your return details and confirm","Ελέγξτε τα στοιχεία επιστροφής και επιβεβαιώστε"
"Request submitted","Το αίτημα υποβλήθηκε"
"We'll confirm your request by email","Θα επιβεβαιώσουμε το αίτημά σας μέσω email"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Συναινώ ρητώς στην έναρξη της εκτέλεσης του ψηφιακού περιεχομένου πριν από τη λήξη της προθεσμίας υπαναχώρησης."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Αναγνωρίζω ότι με την παροχή αυτής της συναίνεσης χάνω το δικαίωμα υπαναχώρησης μόλις αρχίσει η εκτέλεση (άρθρο 16 στοιχείο μ) Οδηγίας 2011/83/ΕΕ)."
"Withdrawals","Υπαναχωρήσεις"
"Minimum %1 characters required.","Απαιτούνται τουλάχιστον %1 χαρακτήρες."
"Failed to add note.","Αποτυχία προσθήκης σημείωσης."
"Network error while adding note.","Σφάλμα δικτύου κατά την προσθήκη σημείωσης."
"Exported Evidence","Εξαγωγή αποδεικτικών στοιχείων"
"Pending Confirm","Εκκρεμεί επιβεβαίωση"
"Sent","Απεστάλη"
"Failed Permanent","Μόνιμη αποτυχία"
"Failed Retry","Αποτυχία με επανάληψη"
"Eligible","Επιλέξιμο"
"Excluded","Εξαιρούμενο"
"Action","Ενέργεια"
"From","Από"
"To","Προς"
"Admin Id","ID διαχειριστή"
"Order Id","ID παραγγελίας"
"Request Id","ID αιτήματος"
"Item Count","Πλήθος ειδών"
"Rules Fired","Ενεργοποιημένοι κανόνες"
"Topic","Θέμα"
"Message Id","ID μηνύματος"
"Email To Hash","Hash e-mail"
"Attempts","Προσπάθειες"
"Viewed At","Προβολή στις"
"Referrer Host","Παραπέμπων κεντρικός υπολογιστής"
"Enable \Other\"" with Free Text""","Ενεργοποίηση \Άλλο\"" με ελεύθερο κείμενο"""
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Προαιρετικό νομικό πρότυπο — η χρήση του δεν είναι υποχρεωτική· μπορείτε επίσης να ασκήσετε το δικαίωμα υπαναχώρησης με οποιαδήποτε σαφή δήλωση."
"Right of withdrawal","Δικαίωμα υπαναχώρησης"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Έχετε 14 ημέρες από την ημέρα παραλαβής της παραγγελίας σας για να υπαναχωρήσετε χωρίς να αναφέρετε κανέναν λόγο — πλήρης επιστροφή χρημάτων στην αρχική σας μέθοδο πληρωμής."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Ορισμένα είδη ενδέχεται να εξαιρούνται από τον νόμο (αλλοιώσιμα αγαθά, είδη κατά παραγγελία, σφραγισμένα είδη υγιεινής ή ήχου/βίντεο). Θα σας δείξουμε ακριβώς τι είναι επιλέξιμο στην επόμενη σελίδα."
"Direct link — no login or account password required.","Απευθείας σύνδεσμος — δεν απαιτείται σύνδεση ή κωδικός λογαριασμού."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX προς τον πελάτη για τη ροή υπαναχώρησης. Υποομάδες: <em>Κουμπιά</em> (νομικά κρίσιμες ετικέτες), <em>Τοποθετήσεις</em> (πού εμφανίζεται ο σύνδεσμος), <em>Λόγοι επιστροφής</em> (αναπτυσσόμενο ανά είδος), <em>Βήμα επισκόπησης</em> (περιεχόμενο στο 3ο βήμα της ροής)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Απενεργοποιήστε μόνο εάν παραδίδετε την επιβεβαίωση σε σταθερό μέσο μέσω άλλου καναλιού."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Απενεργοποιήστε μόνο εάν παραδίδετε την απόδειξη μέσω άλλου σταθερού μέσου (ταχυδρομείο, λήψη από τον λογαριασμό πελάτη κ.λπ.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Τα κενά πεδία επανέρχονται στη βασική γραμμή του the locale baseline για τη γλώσσα/δικαιοδοσία. Οποιαδήποτε υπερισχύουσα τιμή ενσωματώνεται στο hash SHA-256 που αποθηκεύεται ανά γεγονός συναίνεσης — η αλλαγή ενός πεδίου αφού οι πελάτες έχουν ήδη συναινέσει <strong>δεν</strong> ακυρώνει αναδρομικά προηγούμενες συναινέσεις."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Υποχρεωτική προσυμβατική ενημέρωση για το δικαίωμα υπαναχώρησης. Εμφανίζεται στο βήμα πληρωμής της ολοκλήρωσης παραγγελίας. Κάθε εμφάνιση καταγράφεται με δικανικό τρόπο (υπεράσπιση κατά Άρθρο 10). Στιγμιότυπο του αποδιδόμενου κειμένου αποθηκεύεται αμετάβλητα (Άρθρο 6(5)). <strong>Συνιστάται νομική αξιολόγηση πριν από οποιαδήποτε προσαρμογή του κειμένου του Παραρτήματος I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Off = το μπλοκ είναι κρυφό αλλά τα γεγονότα εμφάνισης καταγράφονται στον διακομιστή μέσω predispatch fallback. Χρησιμοποιήστε μόνο για δοκιμές sandbox. Προεπιλογή: on."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Προαιρετικές διευθύνσεις URL που αποδίδονται ως στρογγυλά σήματα μονογράμματος στο υποσέλιδο του email. Αφήστε κενό για απόκρυψη."
"Sent when a customer cancels their own pending withdrawal.","Αποστέλλεται όταν ο πελάτης ακυρώνει τη δική του εκκρεμή υπαναχώρηση."
